endTime,artistName,trackName,msPlayed,uri
2022-06-01 22:50,Danny Ocean,Fuera del mercado,127402,1UdzJEpgJxtuXAlCOvD4S0
2022-06-02 00:57,Bizarrap,"Tiago PZK: Bzrp Music Sessions, Vol. 48",511,2Gq636OOGgxCTqEuzCZhsa
2022-06-02 00:57,Oscu,Numero 1,106,6HXvazdtAr9hy0kThzxrE3
2022-06-02 00:57,Paulo Londra,Plan A,597,2gpQi3hbcUAcEG8m2dlgfB
2022-06-02 00:57,Mora,TUS LÁGRIMAS,191,30W8VKHrAZmHzObnwAoc1u
2022-06-02 00:57,Polimá Westcoast,ULTRA SOLO,383,0OTNHGKcqQbk51bOYe462Y
2022-06-02 00:57,TINI,Bar,320,0lJE8f0lx8mUSfMyxeYpiC
2022-06-02 00:57,Danny Ocean,Fuera del mercado,156821,1UdzJEpgJxtuXAlCOvD4S0
2022-06-02 00:57,Morat,París,511,3ehHqgYRzmeUi345MfHS2N
2022-06-02 00:57,TINI,Miénteme,170,0cOa970mzTWAxKtltpkpLc
2022-06-02 01:01,Paulo Londra,Plan A,7584,2gpQi3hbcUAcEG8m2dlgfB
2022-06-02 01:01,Morat,París,182187,3ehHqgYRzmeUi345MfHS2N
2022-06-02 01:04,Mora,TUS LÁGRIMAS,174482,30W8VKHrAZmHzObnwAoc1u
2022-06-02 01:07,Bad Bunny,A Tu Merced,3903,4r9jkMEnArtWGH2rL2FZl0
2022-06-02 01:07,TINI,Carne y Hueso,178309,3yeFTYLMz4nOtyPXWEMKsW
2022-06-02 01:10,Sech,Wao,178266,2B4nQ6yvVVBMqfgOrYtubb
2022-06-02 01:15,KHEA,Ayer Me Llamó Mi Ex – Remix,256253,59nnGpAU3AiL2tD0o2It11
2022-06-02 01:19,Duki,She Don't Give a Fo,201813,03a359wbiUsjN9h6yzXvmS
2022-06-02 02:39,Emilia,la balada,165959,5hgjF68xugLDOyLSjfe8QN
2022-06-02 13:16,Morat,París,182187,3ehHqgYRzmeUi345MfHS2N
2022-06-02 13:19,Danny Ocean,Fuera del mercado,159849,1UdzJEpgJxtuXAlCOvD4S0
2022-06-02 13:22,Emilia,la balada,165959,5hgjF68xugLDOyLSjfe8QN
2022-06-02 13:27,WOS,ARRANCARMELO,183547,2x8oBuYaObjqHqgGuIUZ0b
2022-06-02 13:30,Bizarrap,"Tiago PZK: Bzrp Music Sessions, Vol. 48",160000,2Gq636OOGgxCTqEuzCZhsa
2022-06-02 13:33,Morat,París,182187,3ehHqgYRzmeUi345MfHS2N
2022-06-02 13:37,Polimá Westcoast,ULTRA SOLO,227220,0OTNHGKcqQbk51bOYe462Y
2022-06-02 13:39,Danny Ocean,Fuera del mercado,159849,1UdzJEpgJxtuXAlCOvD4S0
2022-06-02 13:42,Emilia,la balada,165959,5hgjF68xugLDOyLSjfe8QN
2022-06-02 13:45,Mora,TUS LÁGRIMAS,174482,30W8VKHrAZmHzObnwAoc1u
2022-06-02 13:48,Bad Bunny,A Tu Merced,18842,4r9jkMEnArtWGH2rL2FZl0
2022-06-02 13:48,TINI,Carne y Hueso,178309,3yeFTYLMz4nOtyPXWEMKsW
2022-06-02 13:51,Sech,Wao,178266,2B4nQ6yvVVBMqfgOrYtubb
2022-06-02 13:52,KHEA,Ayer Me Llamó Mi Ex – Remix,45489,59nnGpAU3AiL2tD0o2It11
2022-06-02 20:47,WOS,ARRANCARMELO,183547,2x8oBuYaObjqHqgGuIUZ0b
2022-06-02 20:50,Bizarrap,"Tiago PZK: Bzrp Music Sessions, Vol. 48",160000,2Gq636OOGgxCTqEuzCZhsa
2022-06-02 20:53,Morat,París,182187,3ehHqgYRzmeUi345MfHS2N
2022-06-02 20:57,Polimá Westcoast,ULTRA SOLO,227220,0OTNHGKcqQbk51bOYe462Y
2022-06-02 21:00,Danny Ocean,Fuera del mercado,159849,1UdzJEpgJxtuXAlCOvD4S0
2022-06-02 21:03,Emilia,la balada,165959,5hgjF68xugLDOyLSjfe8QN
2022-06-02 21:05,Mora,TUS LÁGRIMAS,174482,30W8VKHrAZmHzObnwAoc1u
2022-06-02 21:09,TINI,Carne y Hueso,178309,3yeFTYLMz4nOtyPXWEMKsW
2022-06-02 21:12,Bad Bunny,A Tu Merced,175918,4r9jkMEnArtWGH2rL2FZl0
2022-06-02 21:15,Sech,Wao,178266,2B4nQ6yvVVBMqfgOrYtubb
2022-06-02 21:19,KHEA,Ayer Me Llamó Mi Ex – Remix,256253,59nnGpAU3AiL2tD0o2It11
2022-06-02 21:23,Duki,She Don't Give a Fo,209531,03a359wbiUsjN9h6yzXvmS
2022-06-02 21:26,Daddy Yankee,Salgo Pa' la Calle,5583,5hpwyyJJ2JyozFVVRJsfLp
2022-06-02 21:26,Trueno,BIEN O MAL,176629,4n0MBJuHpZ9dnD1BtsOIxB
2022-06-02 21:30,Giuliano Cobuzzi,Cayó la Noche X Soy Peor,144789,0A10irhFqhj5BWWc1q6boi
