trackName,endTime,artistName,msPlayed,uri,duracion_ms,popularidad,danceability
+,2023-02-20 10:38,Aitana,881413,5Cbo7oz78gqkzV3EAM63VA,219367,61,0.561
"1 step forward, 3 steps back",2022-06-28 20:39,Olivia Rodrigo,3136670,4wcBRRpIfesgcyUtis7PEg,163586,79,0.473
10 mil,2022-08-26 15:40,Benjamín Amadeo,625004,0zdTOCAaRAlT99a3MQztg6,241546,43,0.695
11 Besos,2023-03-24 18:59,Morat,118727,5T1MmDTBxXdCzIK0d76fQs,118727,61,0.741
22,2023-03-07 18:03,TINI,560205,0ZrDGZ2g2nZXz4rjO3oKrl,161213,0,0.76
23,2022-09-21 16:50,Morat,3695687,6iHkZiRJcULoqasbboOgig,220613,53,0.833
23 Preguntas,2022-12-21 01:24,Anuel AA,5628856,5ANkjNH7elrxzggidjnH9v,251221,75,0.777
24 Horas,2023-01-21 10:49,Eslabon Armado,3379492,0T8lt51Lvj1OAj750PH6X9,317362,69,0.495
2:50,2023-01-18 11:40,MYA,186422,5xlxSHnvXwT66JWYwDkEFE,185142,50,0.794
4U,2023-03-27 10:00,PRETTYMUCH,54357,17rOGXD67XqmQn4QnZOYe0,204626,39,0.401
512,2022-08-18 14:47,Mora,370802,5jzEwSyyymBlf1fa1o39T2,193636,78,0.818
7 Years,2023-05-11 01:34,Lukas Graham,260073,34jE97kETT7KynsR9dweWU,237353,0,0.74
8 Letters - Nora En Pure Remix,2022-10-05 15:28,Why Don't We,24234,6yuyTFjqd3iMAAXoXt2WCm,210000,0,0.728
8TEEN,2022-10-20 11:17,Khalid,228600,5bgwqaRSS3M8WHWruHgSL5,228600,79,0.83
911 (Remix),2022-08-19 14:14,Sech,853,27RSJHEA99Y0Vsow7nA37A,208631,74,0.816
A Better Life,2023-03-28 15:36,Grace VanderWaal,9706,1rEkvyg3rdnTvmhEASyQmg,244160,33,0.398
A Drop in the Ocean,2022-10-10 19:32,Ron Pope,195925,5JDcQAztvZTIkrWoZihgvC,220239,67,0.447
A Little Too Much,2022-10-07 14:06,Shawn Mendes,187026,06DaCxeg3IUMcxDkKEyQKf,187026,0,0.553
A Million Dreams,2022-12-28 02:19,Ziv Zaifman,676130,0RoA7ObU6phWpqhlC9zH4Z,269453,75,0.265
A Million Dreams (Reprise),2023-02-25 14:04,Austyn Johnson,1493,66y7x28jXOPrcmu3D5Zjh6,60453,64,0.253
A New Family,2023-03-23 09:53,Patrick Doyle,2367,0SQDuQAIXGIabiOod0EiZu,135333,0,0.159
A Tu Merced,2022-06-02 01:07,Bad Bunny,2561069,4r9jkMEnArtWGH2rL2FZl0,175918,81,0.86
AM,2022-10-09 17:43,Nio Garcia,1602,2dNhNlpZAtV4lwAFW45LIv,182496,69,0.83
ANDRÓMEDA,2022-06-03 22:40,WOS,6874372,4Pa73QAWSryyKavXNyVbUA,171475,0,0.666
ANIMAL,2022-06-23 22:25,ACRU,920596,06b0Au6pvZiO03eKTCvgWh,170981,56,0.617
ARRANCARMELO,2022-06-02 13:27,WOS,19957917,2x8oBuYaObjqHqgGuIUZ0b,183547,80,0.654
Abcdefg,2023-01-23 11:37,ROSALÍA,811560,5EbsCDXjzmwtHm70q87VHt,65961,49,0.627
Acuérdate De Mí,2022-06-27 23:46,Morat,3329279,6vJSBlhgcGFTnHn3UsHgpt,221063,70,0.328
Además de Mí - Remix,2022-06-14 13:36,Rusherking,987365,7I8L3vYCLThw2FDrE6LuzE,330040,71,0.397
Adrenalina (feat. Maikel Delacalle),2023-01-12 13:24,Piso 21,1088,1XOOL9ZGgMOzi1BjY1ZLoD,201115,37,0.7
Ai Ai Ai - Felguk & Cat Dealers Remix,2023-01-18 08:56,Vanessa Da Mata,3583,56yFJewuZr1kKfYu2O35nx,200322,64,0.575
Aire,2022-12-18 14:10,Axel,97854,7vhesMGuUU7By3RWmS73wO,211266,28,0.482
Algo contigo,2023-01-20 23:36,Rita Payés,6444267,3HMuJG1y7pyjg7Rrk17Rsb,297664,71,0.602
Alive,2023-03-23 09:57,Khalid,1855,12VqHHz4wvVcnEdSivjLeQ,177413,56,0.386
All This Love,2023-03-23 09:53,JP Cooper,2048,10unIjOu5Jurco3SDbV4HZ,193597,58,0.621
All of the Stars,2023-05-12 10:03,Ed Sheeran,641896,3SZLtkoHoECHHuOnNkNCuS,234986,67,0.436
Aloha,2023-04-26 14:12,Maluma,780285,5RAIMjdrCEjpjaR5tBATXU,241659,70,0.807
Always On The Run,2023-03-23 09:41,Lenny Kravitz,44953,3xxBAMUVusDLjLFwwL9qoY,233066,62,0.52
Amapolas - Remix,2022-10-10 02:44,Leo Rizzi,267338,44QxiGlmeSpF8boud04Rkc,267338,67,0.694
American Teen,2022-07-17 19:53,Khalid,501492,312WNtMs3F28cUukaPY9bo,250746,68,0.658
Amor Con Hielo,2022-06-21 15:22,Morat,1885494,3HD9bDMbauNapHay7GOBoM,203690,0,0.645
Angels Like You,2022-06-28 18:59,Miley Cyrus,476893,1daDRI9ahBonbWD8YcxOIB,196453,93,0.672
Another Love,2022-10-13 17:28,Tom Odell,244360,3JvKfv6T31zO0ini8iNItO,244360,93,0.445
Another Sad Love Song,2022-07-17 19:57,Khalid,759152,52Qu0no0NBho3zyRmjlsHn,244746,65,0.834
Antes De Los Veinte,2022-06-21 15:18,Morat,2668576,3I6eB0vl9crGd9u8axNTrp,213801,0,0.634
Años Luz,2023-01-01 14:38,Nicki Nicole,1216881,4SQFu2eDYHTD9DdRVG3vU3,193246,57,0.604
Aprender A Quererte,2022-06-21 15:10,Morat,4068699,59zFBL3hnDA023j3mSwCSo,229213,0,0.632
Aquí Estaré,2023-01-25 17:09,Sebastian Yatra,492015,6fXnEtRl3ZeAMg9kSqcN3G,215133,46,0.352
"Asan: Bzrp Music Sessions, Vol. 35",2022-07-12 16:52,Bizarrap,1322,5ZoYsrmeVPyJI4rhdBBJi1,154181,2,0.68
Aura,2022-07-25 14:17,Ozuna,6111228,1AVu7Kc2MRrLfOG1RCEf07,187653,53,0.527
