trackName,endTime,artistName,msPlayed,uri,duracion_ms,popularidad,danceability,Nombre
10 mil,2022-10-17 20:36,Benjamín Amadeo,241546,0zdTOCAaRAlT99a3MQztg6,241546,43,0.695,Olivia
24K Magic,2023-04-01 12:08,Bruno Mars,225983,2gFvRmQiWg9fN9i74Q0aiw,225983,66,0.818,Olivia
512,2023-03-14 19:13,Mora,362707,5jzEwSyyymBlf1fa1o39T2,193636,78,0.818,Olivia
7 Years,2023-02-26 00:46,Lukas Graham,243975,34jE97kETT7KynsR9dweWU,237353,0,0.74,Olivia
ALMA DINAMITA - Live Set,2022-09-13 18:35,WOS,252071,22e93nNiMUPVqeNHh7FnrS,252071,48,0.44,Olivia
ANDRÓMEDA,2022-06-07 18:16,WOS,4453245,4Pa73QAWSryyKavXNyVbUA,171475,0,0.666,Olivia
ANIMAL,2022-06-17 16:08,ACRU,905095,06b0Au6pvZiO03eKTCvgWh,170981,56,0.617,Olivia
ARRANCARMELO,2022-06-02 17:30,WOS,20002870,2x8oBuYaObjqHqgGuIUZ0b,183547,80,0.654,Olivia
Abcdefg,2023-03-10 13:28,ROSALÍA,11439,5EbsCDXjzmwtHm70q87VHt,65961,49,0.627,Olivia
Además de Mí - Remix,2022-06-05 01:20,Rusherking,1482,7I8L3vYCLThw2FDrE6LuzE,330040,71,0.397,Olivia
Alive,2023-02-09 14:38,Ouska,146976,12VqHHz4wvVcnEdSivjLeQ,177413,56,0.386,Olivia
All I Want for Christmas Is You,2022-12-24 18:08,Mariah Carey,241106,0bYg9bo50gSsH3LtXe2SQn,241106,68,0.336,Olivia
Aloha,2022-08-22 20:19,Maluma,241659,5RAIMjdrCEjpjaR5tBATXU,241659,71,0.807,Olivia
Amor Prohibido,2022-08-24 02:56,Selena,68057,1oXcxpTLTHOsaW0XmzSxCc,211584,35,0.701,Olivia
Años Luz,2022-09-13 22:25,Nicki Nicole,422325,4SQFu2eDYHTD9DdRVG3vU3,193246,57,0.604,Olivia
Aquel Nap ZzZz,2022-08-22 20:11,Rauw Alejandro,295038,2qyLvNLktrdc67OgaayqMW,295038,0,0.457,Olivia
"Asan: Bzrp Music Sessions, Vol. 35",2022-11-27 20:40,Bizarrap,308362,5ZoYsrmeVPyJI4rhdBBJi1,154181,1,0.68,Olivia
Aunque Ya No Estés Aquí,2022-09-23 23:29,FMK,8485,00sAoxFmsbUSU5Cn0RCxlV,206090,65,0.67,Olivia
Avanti Morocha,2022-11-07 21:55,Los Caballeros De La Quema,670386,411J3pP54W1K9PMo72Fg2w,346800,61,0.663,Olivia
Ayer Me Llamó Mi Ex – Remix,2022-11-27 21:42,KHEA,1160,59nnGpAU3AiL2tD0o2It11,256253,63,0.784,Olivia
Azul y Oro (Freestyle),2022-11-28 12:25,Trueno,650,6qvjLYh374hUwDg7bSsxog,194705,0,0.736,Olivia
BIEN O MAL,2022-09-12 17:59,Trueno,354818,4n0MBJuHpZ9dnD1BtsOIxB,176629,64,0.75,Olivia
Bar,2022-10-17 22:31,TINI,379267,0lJE8f0lx8mUSfMyxeYpiC,160212,70,0.523,Olivia
Billionaire (feat. Bruno Mars),2022-08-28 09:12,Travie McCoy,590122,2M9ULmQwTaTGmAdXaXpfz5,211160,75,0.633,Olivia
Bolivia,2022-06-12 15:13,La Bomba de Tiempo,830555,2MuDW3QK1SAk35OnTnDLLp,240799,46,0.737,Olivia
Budapest,2023-04-01 11:56,George Ezra,200733,2ixsaeFioXJmMgkkbd4uj1,200733,82,0.717,Olivia
CAMBIANDO LA PIEL,2022-06-05 01:43,WOS,11714271,2y2iEADc8O0Vv5IKHSs21i,158121,65,0.744,Olivia
CANGURO,2022-06-07 17:49,WOS,2797657,2UAWYufVaO3EnUUNzl0ppO,196745,68,0.602,Olivia
CONTANDO OVEJAS,2022-06-11 19:42,WOS,6924294,47DL8jY6HJD2mlCcTuOWKX,203468,66,0.459,Olivia
CONVOY JARANA,2022-06-07 18:10,WOS,3514106,09ZM0SFVkQauSIR5I3aj0g,158123,52,0.742,Olivia
CULPA,2022-06-08 13:20,WOS,14015719,0BTJ7QpDRjinzAy8KQMAp8,215717,64,0.485,Olivia
Caraluna,2022-10-17 21:11,Bacilos,266160,4XTMj7kd8DHLl0r7ghmEAr,266160,64,0.76,Olivia
Carne y Hueso,2022-06-08 23:10,TINI,551556,3yeFTYLMz4nOtyPXWEMKsW,178309,67,0.582,Olivia
Castle on the Hill,2022-10-17 18:04,Ed Sheeran,776396,6PCUP3dWmTjcTtXY02oFdT,261153,82,0.461,Olivia
Clandestino,2023-02-13 16:09,Manu Chao,149173,7DrluKkTviBwCc8AV3VGmf,231920,70,0.766,Olivia
Claramente,2022-09-13 16:05,Chano,1470,73vVORScUIi8QuYSO7dC47,160800,36,0.466,Olivia
Closer,2022-11-05 15:40,The Chainsmokers,734880,3bt6XeVBFMczUKVVXIG00A,266116,0,0.796,Olivia
Colocao,2022-07-12 21:43,Nicki Nicole,2389344,7MCFjPDImfjQv7GynHgVrR,179966,64,0.811,Olivia
Cono hielo,2022-09-10 18:47,CA7RIEL,4742488,5SFlCuDJBOtpfrh1ue6uCt,177806,52,0.859,Olivia
Contando Lunares (feat. Cruz Cafuné),2022-10-17 21:14,Don Patricio,118165,6uW0PIRcyZLvkoonm763xD,219666,70,0.856,Olivia
Crimen,2023-01-06 22:40,Gustavo Cerati,9450,3oqWr0jDWNXxWufNogGREp,232026,75,0.537,Olivia
Cristina (feat. Shelow Shaq),2023-05-21 07:09,Maffio,6455,2egI1hFZDAYrkCgtepoore,186893,60,0.861,Olivia
Cuando Te Besé,2022-11-11 00:41,Becky G,117580,2XXMDz7SPZ4mSFN1PXfHUy,254383,69,0.772,Olivia
Cuerpo en Venta,2022-08-07 05:08,Noriel,12515,2B94bbI1a4LyBpK1439oP7,254413,66,0.696,Olivia
Cúrame,2023-02-09 19:35,Rauw Alejandro,91801,3PwRuzdphgedcWVUOVYJ7I,164705,4,0.765,Olivia
DANCE CRIP,2022-06-05 01:26,Trueno,2830547,1kjs5eR4DMzyB0gm1Z8waV,165019,68,0.857,Olivia
DUDADE,2022-09-10 20:56,Dillom,273568,1mjHyr9e7uP0QisX3y7a6T,123093,19,0.805,Olivia
"Dani Ribba: Bzrp Freestyle Sessions, Vol. 7",2023-04-25 20:45,Bizarrap,137365,1jKq6jcjPAd2awwuYiPswp,137365,53,0.924,Olivia
"Dani Ribba: Bzrp Music Sessions, Vol. 24",2023-04-23 20:58,Bizarrap,346502,6TNuRFdNazLbbVQTRE8pZg,173251,1,0.913,Olivia
De Música Ligera (SEP7IMO DIA),2023-01-22 15:01,Soda Stereo,113964,0v1p6H03NUVHhOu3nXD7GC,349026,48,0.581,Olivia
De Vacaciones,2022-09-12 18:56,FMK,18820,0hRKaSIym7bBRZ5oXLUsfx,141702,57,0.686,Olivia
Delincuente,2022-11-29 20:12,Tokischa,182520,5ltjit47pp6nXwhYpkilYd,202426,2,0.82,Olivia
Demasiadas Mujeres,2022-11-07 20:17,C. Tangana,153960,3GaGWoU1KfVqgl7vnRHP55,153960,78,0.658,Olivia
Easy On Me,2022-10-16 02:39,Adele,224694,46IZ0fSY2mpAiktS3KOqds,224694,85,0.604,Olivia
Eclipse,2022-10-01 21:10,Zeballos,15616,2YqdfLhtJKoXQQLwy4nvqd,241058,3,0.687,Olivia
El Baile de las Egresadas,2022-08-27 03:48,Alan Gomez,66363,1IlbkW24QMlXRs5GF15FMM,279640,45,0.796,Olivia
El Viejo,2022-09-20 19:45,La Vela Puerca,1642,7gKqjNMM4ikt7KFTRsgZgL,187066,64,0.699,Olivia
Ella,2023-03-29 10:52,La Beriso,3575,5aVhIDZmDeMt2C2ZMX5KoH,227866,61,0.632,Olivia
Ella No Es Tuya - Remix,2022-07-12 21:09,Rochy RD,2404851,5YYW3yRktprLRr47WK219Y,218106,71,0.585,Olivia
En la Oscuridad,2022-11-07 19:56,LIT killah,173142,4OrAAeefsDOdUSfE87C6WR,173142,64,0.812,Olivia
Entre Nosotros,2022-11-07 20:35,Tiago PZK,384704,6w8yBI2vthyN9UnwO4UBWb,192352,74,0.729,Olivia
Entre Tú y Yo,2022-11-28 19:35,Chema Rivas,448928,1nxlRYbM2Ral4im0LExtZY,224000,0,0.854,Olivia
FRESCO,2022-06-07 18:20,WOS,4538803,0blWPYAfbvpRLVHUcmqmmj,170302,67,0.782,Olivia
Falling,2022-10-16 02:45,Harry Styles,170931,4TnjEaWOeW0eKTKIEvJyCa,159381,6,0.785,Olivia
Feel Good Inc.,2022-07-01 17:00,Gorillaz,222640,0d28khcov6AiegSCpG5TuT,222640,86,0.818,Olivia
Fiel,2022-10-14 22:08,Los Legendarios,184817,7Bk0uXKk1uPT0XuQbpFzvs,261665,74,0.849,Olivia
Flexin',2022-06-05 01:40,LIT killah,818352,0hwEhPxCBLKiqeBMZavGAv,179383,64,0.84,Olivia
Forever Alone,2022-07-01 18:03,Paulo Londra,215962,5NPzbTzFxIQPaheZuPhn4f,215962,60,0.864,Olivia
Fresko,2022-09-21 16:01,Bhavi,173997,2Zbw0nOYZoKU27sOYbrsv7,201290,53,0.856,Olivia
From Now On,2022-08-10 20:38,Hugh Jackman,11740,3IkWmgGsXbsafrunwPojXO,349560,72,0.516,Olivia
Fucking Diablo,2022-09-14 13:37,Nicki Nicole,289044,5HugdP5zn1KUybBdc1xsdf,144522,53,0.759,Olivia
Fuego,2022-10-17 20:12,Intoxicados,302838,1sOQKZHaEo2SKzVfUqMriM,166833,34,0.5,Olivia
Funeral,2022-06-17 15:15,Cami,1074066,1ueLYdeuGMAwUiaezLDObD,221400,52,0.725,Olivia
GATO NEGRO,2022-06-08 13:17,WOS,12480682,5Mn4FEB5vtRI4tbr3MwNnO,195864,56,0.484,Olivia
Galway Girl,2022-10-17 18:07,Ed Sheeran,341652,0afhq8XCExXpqazXczTSve,170826,81,0.624,Olivia
Goteo,2022-09-19 18:00,Duki,632403,1EoEU4HY57qaITp06TkC6B,164457,70,0.473,Olivia
Gusty DJ | Ecko - Session en el Barrio #7,2023-02-16 13:40,Gusty dj,97851,2ALRaYszX1wDifP6HrcdqS,164536,68,0.883,Olivia
Hacer un puente,2022-12-05 21:28,La Franela,132657,18Q3WTfyWX1tdS1cp42NhA,282958,62,0.522,Olivia
Happier,2022-11-04 16:58,Ed Sheeran,207520,2RttW7RAu5nOAfq6YFvApB,207520,81,0.522,Olivia
Hasta Que Dios Diga,2023-03-31 15:37,Anuel AA,246000,06s3QtMJVXw1AJX3UfvZG1,246000,85,0.691,Olivia
Heaven,2023-02-25 16:19,Niall Horan,5047296,0Hgqglypzt6Qs5Duqskcqs,213026,51,0.42,Olivia
