endTime,artistName,trackName,msPlayed,uri
2022-06-01 21:56,Lord Huron,The Night We Met,158638,3hRV0jL3vUpRrcy398teAU
2022-06-02 14:22,Morat,Ya No Estás Tú,199826,4vVI1dW2NmwtXfXrYPw6Ct
2022-06-02 22:05,Anson Seabra,Peter Pan Was Right,192497,2At18rPHOuTEjGEppwGV0A
2022-06-02 22:08,Birdy,Deep End,208840,555CH6CnGJRqO37pqA30vW
2022-06-02 22:11,lovelytheband,broken,204878,6XcfKZvJio9Z0fQy11GnNX
2022-06-02 22:14,Julia Michaels,What A Time (feat. Niall Horan),173306,5WtfUKzXircvW8l5aaVZWT
2022-06-02 22:18,James Smith,Tell Me That You Love Me,1602,2wHA4yJKT8TJhGz20QxUqX
2022-06-02 22:18,MARINA,About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”,1834,4XII12nbsvJblXfG1I2QR4
2022-06-02 22:18,Matt Landi,"Oh Man, What a View!",8855,2b5zQzxVQUVacZKGkpw59z
2022-06-02 22:18,Alessia Cara,River Of Tears,254506,3ArYVrRb0lDBLzuJJqIXzC
2022-06-02 22:22,Kodaline,Brother,203186,65gLJGey4u4KFFqoC5fzFJ
2022-06-02 22:25,Gym Class Heroes,Stereo Hearts (feat. Adam Levine),210960,0qOnSQQF0yzuPWsXrQ9paz
2022-06-02 22:30,Sara Kays,Chosen Last,28214,3NDgV66iYYySIgo5RSvQ5d
2022-06-02 22:30,Anson Seabra,When It's Over,257333,4nc2fSP2m3BinlX6j7ZlKK
2022-06-02 22:33,Selena Gomez,Lose You To Love Me,206457,2FeGfLRrUIMwybTplG0AWj
2022-06-02 22:34,Anson Seabra,Come Close,30210,10LSITr9KpQs2uCh7g2QQh
2022-06-02 22:36,Olivia Rodrigo,favorite crime,152666,5JCoSi02qi3jJeHdZXMmR8
2022-06-02 22:40,Reik,Ya Me Enteré,204173,0lPXFrKyl8HkdQ2E6NmNja
2022-06-02 22:41,Caleb Hearn,Always Be 2.0,72285,4woCuWKAYc4ernzgJViojh
2022-06-02 22:45,Adele,Easy On Me,6889,0gplL1WMoJ6iYaPgMCL0gX
2022-06-02 22:45,grentperez,Cherry Wine,2205,1a1LrfgkTvfHFykIxcv8WU
2022-06-02 22:45,Anson Seabra,Magazines,220049,3Amht3EpGYKEYZkafAwibf
2022-06-02 22:48,Ryn Weaver,Pierre,202733,2vpVR1L7Qfkd7D6qFNuorq
2022-06-02 22:48,Selena Gomez,Back To You,4109,514rhnksEwHUh6LxXsQ4Y9
2022-06-02 22:48,Isak Danielson,Broken,6999,4oLLl2b0pZ5Ksp4SWISJyx
2022-06-02 22:48,Ed Sheeran,All of the Stars,3088,3SZLtkoHoECHHuOnNkNCuS
2022-06-02 22:51,Anson Seabra,"It's Raining, It's Pouring",183089,0dhw2WjJZBsbBDv0Ipdgbw
2022-06-02 22:54,Sleeping At Last,"July 22, 2020: C / 2020 F3 - Comet Neowise",184645,7e83nqqtB1j71YhPVkqWXf
2022-06-02 22:58,Julie and the Phantoms Cast,Perfect Harmony (feat. Madison Reyes & Charlie Gillespie),204000,5yeHtAPGAFsfN9baoglUlc
2022-06-02 23:02,Oh Wonder,White Blood,257426,3sZfQB5uYTJmA4QnB8dv7P
2022-06-02 23:06,We Three,Sara,211175,0zSemnpoUFdtesuHTZ3ifv
2022-06-03 02:18,Jasmine Thompson,Will Follow You Into the Dark,204091,3A31Rer0lC31LUGxQwmO8V
2022-06-03 02:19,Stephen Sanchez,Until I Found You,1648,0T5iIrXA4p5GsubkhuBIKV
2022-06-03 02:19,BANNERS,Someone To You - Acoustic,91315,6uhk9SHuaSqlvG2Dt3Ncnk
2022-06-03 02:19,Beret,Vuelve,2716,3jMwSd2zqGOwJStCatpjAr
2022-06-03 02:22,Ashe,Moral of the Story,2252,2nC3QhMI9reBIOWutbU3Tj
2022-06-03 02:22,Ashe,Moral of the Story,882,2nC3QhMI9reBIOWutbU3Tj
2022-06-03 02:22,James TW,When You Love Someone,129753,0TXNKTzawI6VgLoA9UauRp
2022-06-03 02:22,Michael Schulte,Falling Apart,2739,0aIW3ekrhK1eh3BYCh11op
2022-06-03 02:22,Michael Schulte,Falling Apart,1253,0aIW3ekrhK1eh3BYCh11op
2022-06-03 02:25,M83,Wait,1625,01Q3OyB05mLgH01fpdAMPP
2022-06-03 02:25,Sara Kays,Remember That Night?,12863,1nYzjrdVQ8RpF93M0jPFW7
2022-06-03 02:25,Finding Hope,Nightlight,1602,73LdhMZm8CrXJEi2wm6um3
2022-06-03 02:25,Ashe,Moral of the Story,187640,2nC3QhMI9reBIOWutbU3Tj
2022-06-03 02:25,Sabrina Carpenter,Skin,5038,03B2SfXuvDh1m9F4tqrX07
2022-06-03 02:25,Morat,Ya No Estás Tú,998,4vVI1dW2NmwtXfXrYPw6Ct
2022-06-03 02:25,Dylan Conrique,birthday cake,1718,7dDrR6vMK1JAwZZ5MIWgme
2022-06-03 02:29,Sam Fischer,This City,194853,3H3r2nKWa3Yk5gt8xgmsEt
2022-06-03 02:32,Anson Seabra,Keep Your Head Up Princess,198220,19pChrR4hwdINqoOFUo2Hj
2022-06-03 02:33,Jesse & Joy,Ecos De Amor,1323,3lI5dscCDez8cF6LF3Me7F
2022-06-03 02:33,James Bay,Peer Pressure,8401,4RE3vueod5PL48rvHtuu9C
2022-06-03 02:33,Tate McRae,she's all i wanna be,1880,0IuVhCflrQPMGRrOyoY5RW
2022-06-03 02:33,Taylor Swift,Crazier,1184,5vyxXfD5gLlyPxGZMEjtmd
2022-06-03 09:48,Anson Seabra,Walked Through Hell,169831,6c7N5N7amAOpeMykjlovjI
2022-06-03 09:48,WALK THE MOON,Lost In The Wild,2670,0M1A9wInEHilyWkh4I8tWo
2022-06-03 09:48,WALK THE MOON,Lost In The Wild,626,0M1A9wInEHilyWkh4I8tWo
2022-06-03 09:52,Anson Seabra,Walked Through Hell,216864,6c7N5N7amAOpeMykjlovjI
2022-06-03 09:52,Aquilo,Sorry,11633,6MXJdqTuSDXkG21JHWiGko
2022-06-03 09:52,WALK THE MOON,Lost In The Wild,21823,0M1A9wInEHilyWkh4I8tWo
2022-06-03 09:52,Bohnes,Middle Finger,2182,0IK8y0vAO0sM630HsxwLht
2022-06-03 09:55,Anson Seabra,Lucky Charms,190127,1Cwg5W2pW4aDvgUnb0PAvL
2022-06-03 09:55,Lauren Spencer Smith,Fingers Crossed,4768,5S9Zs5g9lTWnLIboN1pdlU
2022-06-03 09:55,Zac Efron,Rewrite The Stars,1764,65fpYBrI8o2cfrwf2US4gq
2022-06-03 09:55,Justin Bieber,Ghost,2205,6I3mqTwhRpn34SLVafSH7G
