trackName,endTime,artistName,msPlayed,uri,duracion_ms,popularidad,danceability,Nombre
+,2022-06-10 10:02,Aitana,5005267,5Cbo7oz78gqkzV3EAM63VA,219367,61,0.561,Sol
18,2022-06-03 10:17,One Direction,6716704,3JjnGLK8IxkNLvo8Lb3KOM,248360,84,0.681,Sol
4runner,2023-04-28 21:24,prettyboyshav,2428394,1RaF9xwakfao1RRknWyYB5,265453,77,0.792,Sol
7 Minutes,2022-06-29 17:05,Dean Lewis,3987212,6FYbr9QzRoZPh0Re8lDO9z,211453,63,0.613,Sol
About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”,2022-06-02 22:18,MARINA,664734,4XII12nbsvJblXfG1I2QR4,214106,62,0.636,Sol
All of the Stars,2022-06-02 22:48,Ed Sheeran,2279442,3SZLtkoHoECHHuOnNkNCuS,234986,67,0.436,Sol
Always,2022-06-03 20:48,Isak Danielson,2805317,2bdCO4UTMX1ennK2I4rFpD,213451,0,0.69,Sol
Always Be 2.0,2022-06-02 22:41,Caleb Hearn,878451,4woCuWKAYc4ernzgJViojh,165000,0,0.557,Sol
Amnesia,2022-06-13 22:31,5 Seconds of Summer,4772238,0dIOvducp7ujHTqj66cQ3X,237247,68,0.594,Sol
Are You With Me,2022-06-24 13:46,nilu,2648039,2NTww3JSBHpySR2plYyAd6,249661,0,0.172,Sol
Back To You,2022-06-02 22:48,Selena Gomez,4277900,514rhnksEwHUh6LxXsQ4Y9,210240,73,0.6,Sol
Bajo El Agua,2022-06-03 10:13,Manuel Medrano,1136490,5QSYWruQQ7kBCHScI4xJ9g,225838,75,0.616,Sol
Broken,2022-06-02 22:48,Isak Danielson,4239627,4oLLl2b0pZ5Ksp4SWISJyx,216338,0,0.435,Sol
Brother,2022-06-02 22:22,Kodaline,6484710,65gLJGey4u4KFFqoC5fzFJ,203186,76,0.519,Sol
Car's Outside - Acoustic,2022-09-02 16:16,James Arthur,8517004,0FJlNZyxbicLmzOvNl8PJs,248735,52,0.308,Sol
Chasing Cars,2022-06-03 10:17,Sleeping At Last,1245747,2d7LPtieXdIYzf7yHPooWd,242564,61,0.467,Sol
Cherry Wine,2022-06-02 22:45,grentperez,528094,1a1LrfgkTvfHFykIxcv8WU,173286,3,0.761,Sol
Chosen Last,2022-06-02 22:30,Sara Kays,335142,3NDgV66iYYySIgo5RSvQ5d,226847,0,0.652,Sol
Come Close,2022-06-02 22:34,Anson Seabra,1490083,10LSITr9KpQs2uCh7g2QQh,179796,46,0.44,Sol
Control,2022-06-03 10:03,Zoe Wees,4162387,50Td3qilgs8BLtv8mHyT1t,230880,79,0.599,Sol
Crazier,2022-06-03 02:33,Taylor Swift,2468855,5vyxXfD5gLlyPxGZMEjtmd,191946,69,0.452,Sol
Daylight,2023-04-05 19:13,Lissom,4491639,1odExI7RdWc4BT515LTAwj,212953,97,0.508,Sol
Deep End,2022-06-02 22:08,Birdy,2204853,555CH6CnGJRqO37pqA30vW,208840,67,0.455,Sol
"Don't Give Up On Me - (From ""Five Feet Apart"")",2022-06-03 20:30,Andy Grammer,5245067,5A3fPy30SN2wuzrahpcxvV,196187,74,0.641,Sol
Easy On Me,2022-06-02 22:45,Adele,2380058,0gplL1WMoJ6iYaPgMCL0gX,224694,85,0.604,Sol
Ecos De Amor,2022-06-03 02:33,Jesse & Joy,1717120,3lI5dscCDez8cF6LF3Me7F,215112,72,0.248,Sol
Falling Apart,2022-06-03 02:22,Michael Schulte,2364187,0aIW3ekrhK1eh3BYCh11op,198573,76,0.543,Sol
Fat Funny Friend,2022-08-26 22:21,Maddie Zahm,5473423,4eaSY3ucamesaARYBsLfz2,199764,4,0.498,Sol
Faux,2023-04-04 15:11,Novo Amor,1762173,5c3mx1oOkT5ynQ4MpK1ul1,272172,0,0.242,Sol
Fingers Crossed,2022-06-03 09:55,Lauren Spencer Smith,1459634,5S9Zs5g9lTWnLIboN1pdlU,175344,2,0.603,Sol
Flight Risk,2023-04-04 16:03,Tommy Lefroy,593092,0kAsY8KaG5sM6uwAEt3qyg,59026,68,0.348,Sol
Flowers,2023-01-08 23:36,Lauren Spencer Smith,7882159,6Z165JvPnS8PYvGW8oLGLc,157373,78,0.684,Sol
Ghost,2022-06-03 09:55,Justin Bieber,3837147,6I3mqTwhRpn34SLVafSH7G,153190,88,0.601,Sol
Ghost Of You,2022-11-02 12:23,5 Seconds of Summer,2786054,1MhXdlCQPnO56T57MfmaRm,197411,76,0.458,Sol
Habits,2022-10-20 01:34,Genevieve Stokes,5043590,4UGvqm3e7UElrrriPtnhwz,136733,61,0.663,Sol
Hard Sometimes,2022-06-03 20:32,Ruel,1342971,0D2xguFRqCF0OUqXCkqrpU,269493,63,0.407,Sol
Heal,2022-06-22 21:01,Tom Odell,3173623,4KlL5Bwlm4yHYxr0B2rHci,193080,74,0.445,Sol
Hold Me While You Wait,2022-06-22 20:16,Lewis Capaldi,2058824,60iSKGrGazRzICtMjADNSM,205686,80,0.688,Sol
Home,2022-07-08 15:33,Edith Whiskers,4728415,7w5cxTEzp1rfV3KCy0Bd5N,303200,71,0.542,Sol
I GUESS I'M IN LOVE,2022-06-03 10:10,Clinton Kane,703627,1is8gU4RVcN4J8xItxWoOY,204093,76,0.422,Sol
I Get to Love You,2022-10-21 03:08,Ruelle,492322,3CV4lFELdziNM1OnHU8nwz,239362,65,0.335,Sol
