trackName,endTime,artistName,msPlayed,uri
+,2023-02-20 10:38,Aitana,881413,5Cbo7oz78gqkzV3EAM63VA
"1 step forward, 3 steps back",2022-06-28 20:39,Olivia Rodrigo,3136670,4wcBRRpIfesgcyUtis7PEg
10 mil,2022-08-26 15:40,Benjamín Amadeo,625004,0zdTOCAaRAlT99a3MQztg6
11 Besos,2023-03-24 18:59,Morat,118727,5T1MmDTBxXdCzIK0d76fQs
22,2023-03-07 18:03,TINI,560205,0ZrDGZ2g2nZXz4rjO3oKrl
23,2022-09-21 16:50,Morat,3695687,6iHkZiRJcULoqasbboOgig
23 Preguntas,2022-12-21 01:24,Anuel AA,5628856,5ANkjNH7elrxzggidjnH9v
24 Horas,2023-01-21 10:49,Eslabon Armado,3379492,0T8lt51Lvj1OAj750PH6X9
2:50,2023-01-18 11:40,MYA,186422,5xlxSHnvXwT66JWYwDkEFE
4U,2023-03-27 10:00,PRETTYMUCH,54357,17rOGXD67XqmQn4QnZOYe0
512,2022-08-18 14:47,Mora,370802,5jzEwSyyymBlf1fa1o39T2
7 Years,2023-05-11 01:34,Lukas Graham,260073,34jE97kETT7KynsR9dweWU
8 Letters - Nora En Pure Remix,2022-10-05 15:28,Why Don't We,24234,6yuyTFjqd3iMAAXoXt2WCm
8TEEN,2022-10-20 11:17,Khalid,228600,5bgwqaRSS3M8WHWruHgSL5
911 (Remix),2022-08-19 14:14,Sech,853,27RSJHEA99Y0Vsow7nA37A
A Better Life,2023-03-28 15:36,Grace VanderWaal,9706,1rEkvyg3rdnTvmhEASyQmg
A Drop in the Ocean,2022-10-10 19:32,Ron Pope,195925,5JDcQAztvZTIkrWoZihgvC
A Little Too Much,2022-10-07 14:06,Shawn Mendes,187026,06DaCxeg3IUMcxDkKEyQKf
A Million Dreams,2022-12-28 02:19,Ziv Zaifman,676130,0RoA7ObU6phWpqhlC9zH4Z
A Million Dreams (Reprise),2023-02-25 14:04,Austyn Johnson,1493,66y7x28jXOPrcmu3D5Zjh6
A New Family,2023-03-23 09:53,Patrick Doyle,2367,0SQDuQAIXGIabiOod0EiZu
A Tu Merced,2022-06-02 01:07,Bad Bunny,2561069,4r9jkMEnArtWGH2rL2FZl0
AM,2022-10-09 17:43,Nio Garcia,1602,2dNhNlpZAtV4lwAFW45LIv
ANDRÓMEDA,2022-06-03 22:40,WOS,6874372,4Pa73QAWSryyKavXNyVbUA
ANIMAL,2022-06-23 22:25,ACRU,920596,06b0Au6pvZiO03eKTCvgWh
ARRANCARMELO,2022-06-02 13:27,WOS,19957917,2x8oBuYaObjqHqgGuIUZ0b
Abcdefg,2023-01-23 11:37,ROSALÍA,811560,5EbsCDXjzmwtHm70q87VHt
Acuérdate De Mí,2022-06-27 23:46,Morat,3329279,6vJSBlhgcGFTnHn3UsHgpt
Además de Mí - Remix,2022-06-14 13:36,Rusherking,987365,7I8L3vYCLThw2FDrE6LuzE
Adrenalina (feat. Maikel Delacalle),2023-01-12 13:24,Piso 21,1088,1XOOL9ZGgMOzi1BjY1ZLoD
Ai Ai Ai - Felguk & Cat Dealers Remix,2023-01-18 08:56,Vanessa Da Mata,3583,56yFJewuZr1kKfYu2O35nx
Aire,2022-12-18 14:10,Axel,97854,7vhesMGuUU7By3RWmS73wO
Algo contigo,2023-01-20 23:36,Rita Payés,6444267,3HMuJG1y7pyjg7Rrk17Rsb
Alive,2023-03-23 09:57,Khalid,1855,12VqHHz4wvVcnEdSivjLeQ
All This Love,2023-03-23 09:53,JP Cooper,2048,10unIjOu5Jurco3SDbV4HZ
All of the Stars,2023-05-12 10:03,Ed Sheeran,641896,3SZLtkoHoECHHuOnNkNCuS
Aloha,2023-04-26 14:12,Maluma,780285,5RAIMjdrCEjpjaR5tBATXU
Always On The Run,2023-03-23 09:41,Lenny Kravitz,44953,3xxBAMUVusDLjLFwwL9qoY
Amapolas - Remix,2022-10-10 02:44,Leo Rizzi,267338,44QxiGlmeSpF8boud04Rkc
American Teen,2022-07-17 19:53,Khalid,501492,312WNtMs3F28cUukaPY9bo
Amor Con Hielo,2022-06-21 15:22,Morat,1885494,3HD9bDMbauNapHay7GOBoM
Angels Like You,2022-06-28 18:59,Miley Cyrus,476893,1daDRI9ahBonbWD8YcxOIB
Another Love,2022-10-13 17:28,Tom Odell,244360,3JvKfv6T31zO0ini8iNItO
Another Sad Love Song,2022-07-17 19:57,Khalid,759152,52Qu0no0NBho3zyRmjlsHn
Antes De Los Veinte,2022-06-21 15:18,Morat,2668576,3I6eB0vl9crGd9u8axNTrp
Años Luz,2023-01-01 14:38,Nicki Nicole,1216881,4SQFu2eDYHTD9DdRVG3vU3
Aprender A Quererte,2022-06-21 15:10,Morat,4068699,59zFBL3hnDA023j3mSwCSo
Aquí Estaré,2023-01-25 17:09,Sebastian Yatra,492015,6fXnEtRl3ZeAMg9kSqcN3G
"Asan: Bzrp Music Sessions, Vol. 35",2022-07-12 16:52,Bizarrap,1322,5ZoYsrmeVPyJI4rhdBBJi1
Aura,2022-07-25 14:17,Ozuna,6111228,1AVu7Kc2MRrLfOG1RCEf07
Ayer Me Llamó Mi Ex – Remix,2022-06-02 01:15,KHEA,2232705,59nnGpAU3AiL2tD0o2It11
BICI,2022-11-01 14:11,Duki,248966,3TBZtPqL5tuOk5QYH9WvvK
BIEN O MAL,2022-06-02 21:26,Trueno,1276890,4n0MBJuHpZ9dnD1BtsOIxB
Baby I'm Yours,2022-10-20 11:32,Breakbot,222669,0tZkVZ9DeAa0MNK2gY5NtV
Bad Reputation,2023-05-11 10:36,Shawn Mendes,656524,4IqpjoA1UfQ7FiJfMckYra
Baila Conmigo (with Rauw Alejandro),2022-09-10 14:58,Selena Gomez,1685,079Ey5uxL04AKPQgVQwx5h
Bailar (feat. Elvis Crespo) - Radio Edit,2022-10-09 02:26,Deorro,72042,45sGyAtAxD6efaN0bJAFgh
Bajo El Agua,2022-08-26 23:39,Manuel Medrano,699274,5QSYWruQQ7kBCHScI4xJ9g
Bajo La Mesa,2022-07-04 17:08,Morat,2045341,7BEPdOI0neT6p7PnLViqmH
Bajo el Sol,2022-09-13 19:29,Joaco Terán,249827,49ezUAnq94bom9uqxfLmnr
Banana Pancakes,2023-05-11 01:33,Jack Johnson,331113,0BgbobvykXxEvxo2HhCuvM
Bandido,2022-10-09 17:43,Myke Towers,233770,3FiuYGuoADvGBeARUH3XXh
Bar,2022-06-02 00:57,TINI,919093,0lJE8f0lx8mUSfMyxeYpiC
Barrio Prendido - Remix,2022-10-27 13:18,DJ Alex,6292,3xmGbDqvhgv3D1vsAcISJK
Beautiful,2022-06-23 23:37,Tan Bionica,5891422,1OilOIju6R9ia8vilNjChh
Belispeak II,2023-01-12 13:24,Purity Ring,12274,0gsJKBMCq82pUfHDrEoo67
Bella y Sensual,2023-01-09 17:54,Romeo Santos,754010,0ERbK7qVqveCaBWIiYCrl3
Besos En Guerra,2022-06-28 16:31,Morat,3298598,1d0c62VFYauOOgxZ2eFUxx
Best Day Of My Life,2022-07-25 14:28,American Authors,777839,5Hroj5K7vLpIG4FNCRIjbP
Better,2022-10-10 01:56,Khalid,548560,339Y993TrFyWyO438be0RY
Better Days (NEIKED x Mae Muller x Polo G),2022-09-09 22:36,NEIKED,160656,6f5ExP43esnvdKPddwKXJH
Billionaire (feat. Bruno Mars),2023-05-30 17:54,Travie McCoy,14118,2M9ULmQwTaTGmAdXaXpfz5
Blowin' in the Wind,2022-09-08 23:44,Bob Dylan,49619,18GiV1BaXzPVYpp9rmOg0E
Bolivia,2022-06-23 22:47,La Bomba de Tiempo,1229941,2MuDW3QK1SAk35OnTnDLLp
Bonita,2022-09-12 14:58,Cabas,713477,6HNsJQihjxODgGWQafAJau
Breaking Me - HUGEL Remix,2022-10-07 14:21,Topic,80110,0XX5PxqMoXAPxBZ0qYqSwI
Budapest,2022-07-25 13:24,George Ezra,3169230,2ixsaeFioXJmMgkkbd4uj1
Burned,2023-01-12 13:34,Grace VanderWaal,191533,4mz7WAJCJz7QbXsFA2WoXK
Burning Love,2023-03-29 19:03,Elvis Presley,3035944,7akmE0AToGj8eLidXVWoI6
Butterfly Fly Away,2022-11-18 15:00,Miley Cyrus,361744,2ZTCl6wQMDSMfY4s8GHZdj
By Your Side,2023-03-29 19:36,Sade,54121,1Z9DSDnta5xcbLPeUxrQvD
CAMBIANDO LA PIEL,2022-06-09 22:14,WOS,5415183,2y2iEADc8O0Vv5IKHSs21i
CANGURO,2022-06-03 22:47,WOS,3180708,2UAWYufVaO3EnUUNzl0ppO
CONTANDO OVEJAS,2022-06-21 19:09,WOS,5306280,47DL8jY6HJD2mlCcTuOWKX
CONVOY JARANA,2022-06-06 13:51,WOS,4238786,09ZM0SFVkQauSIR5I3aj0g
CULPA,2022-06-03 22:43,WOS,7078264,0BTJ7QpDRjinzAy8KQMAp8
Cae el Sol,2022-09-11 16:00,Airbag,286564,2nBOPYRoAYOwv6go12SQDs
Call Me Home,2023-01-15 15:45,Galantis,0,29W10ucu2eUqLy9eGbE05g
Callaita,2022-08-17 13:47,Bad Bunny,759641,2TH65lNHgvLxCKXM3apjxI
Can't Help Falling in Love,2023-05-12 09:58,Elvis Presley,85758,6VrAgFXBbRX2PkT92lAoKK
Cancion Sin Nombre Numero 157,2022-09-11 23:12,Joshua Dietrich,167695,3iUoXG9YOSC7ydx5FGcw3w
Candy Paint,2022-08-29 15:07,Post Malone,419118,32lItqlMi4LBhb4k0BaSaC
Caraluna,2022-09-10 16:35,Bacilos,825559,4XTMj7kd8DHLl0r7ghmEAr
Carne y Hueso,2022-06-02 01:07,TINI,6012553,3yeFTYLMz4nOtyPXWEMKsW
Casa De Chapa,2022-07-08 17:40,Tiago PZK,6506255,6cF2qsUsTxrgR3g9YGHT2u
Castle on the Hill,2023-03-02 19:57,Ed Sheeran,261153,6PCUP3dWmTjcTtXY02oFdT
Cayó la Noche X Soy Peor,2022-06-02 21:30,Giuliano Cobuzzi,1121702,0A10irhFqhj5BWWc1q6boi
Chachachá,2022-09-11 14:28,Jósean Log,433434,6aommJFM8i3iT4inKuDSXh
Chamaquita,2022-09-24 15:30,Quevedo,6034164,667CH2wRxXnQOfPD1NrlLJ
Chambea,2022-08-19 13:19,Bad Bunny,32148,6ElmxV9B2mSNscEjP27M7i
Chico Estrella,2022-10-20 14:34,Duki,189988,1VYaM9VSix6jth7nXiHvo2
Chino,2022-09-11 14:00,Mancha De Rolando,616896,3i22RR1yUia5ShKujgQcX3
Chiquetere (feat. Rafa Villalba),2022-11-29 13:02,Paskman,334496,1pdsBkhNchpGCQTGoNQXZI
Cigarette Break,2023-03-25 21:41,Gavin James,2121,6N4giKsqtwFjeEc1alG68f
Circles,2022-08-11 16:39,Post Malone,3097510,21jGcNKet2qwijlDFuPiPb
Claramente,2022-06-23 23:03,Chano,2030523,73vVORScUIi8QuYSO7dC47
Clearly,2023-01-12 13:42,Grace VanderWaal,41241,5XBqGcLYOZi8CEW83Ug7Fs
Cleopatra,2022-09-01 12:21,The Lumineers,4621242,5bzf1xrbqr1ttjAJuRz2xY
Colapso,2022-07-17 20:18,Kevin Kaarl,452680,7dT9D6117e5DbhnKxDLNW9
Colocao,2023-03-02 20:11,Nicki Nicole,566514,7MCFjPDImfjQv7GynHgVrR
Come Alive,2023-02-25 14:05,Hugh Jackman,4842,5xNUR50KxswPRAvx7S163g
Come Down,2022-07-17 20:03,Noah Kahan,358026,4QjtXlzepoVp3YXMvwxyyr
Come True,2022-09-08 23:23,khai dreams,203520,7hqL3TkHYyamoTR8mTHbKc
Come and Get Your Love - Single Version,2022-10-11 17:58,Redbone,205933,7GVUmCP00eSsqc4tzj1sDD
Como + Nadie,2022-08-22 13:37,MYA,587324,3TSB6v3t9nmizD5PzyiiFv
Como Mirarte,2023-01-12 09:40,Sebastian Yatra,1621045,0CXEPVeQDLgDBfvcsQpXq1
Complicated,2023-05-12 10:23,Avril Lavigne,7742,44dKnQdajXTe2fM7eGTCMJ
Con Altura,2022-08-19 14:14,ROSALÍA,19050,2qG5sZ7Si6sdK74qLxedYM
Congratulations (feat. Bilal),2022-11-23 12:55,Mac Miller,3784822,1OubIZ0ARYCUq5kceYUQiO
Consejo de Amor,2022-06-27 23:57,TINI,2238658,3za3hxbolwmy9AeUpWzuRE
Contando Lunares (feat. Cruz Cafuné),2023-01-23 11:44,Don Patricio,216853,6uW0PIRcyZLvkoonm763xD
Corazon Vacio - Remix,2023-03-16 21:19,Saigo,2301814,4fNvMSpz4E8Eq4PmjxiiZY
Corazón (feat. Nego do Borel),2023-01-13 11:46,Maluma,9685,5cepAtqnEQ6yVG6088zMMu
Count on Me,2023-03-23 09:45,Bruno Mars,197469,3B5UbSndRz907IZhhmUfLi
Cozy,2023-03-23 09:53,Jacob Sartorius,11285,6c4RrBGXMbzuhj8XwzzWWW
Crazy Rap (Colt 45 & 2 Zig Zags),2022-06-22 13:54,Afroman,2388704,1ACZpHI5vZ5Ea4xGlkdGWM
Creep,2023-06-01 09:57,Radiohead,133539,1ytTeSRAU6IRo2itVDwtPv
Crimen,2022-09-10 22:32,Gustavo Cerati,369895,3oqWr0jDWNXxWufNogGREp
Cristina,2023-01-18 11:18,Sebastian Yatra,604878,1Kjer1JoWuJGNwGV6Pbgv1
