trackName,endTime,artistName,msPlayed,uri
A Head Full of Dreams,2022-11-09 02:59,Coldplay,7639,6f49kbOuQSOsStBpyGvQfA
Afterglow,2023-04-01 14:17,Ed Sheeran,185486,0E4Y1XIbs8GrAT1YqVy6dq
Always Remember Us This Way,2022-10-15 21:02,Lady Gaga,358647,2rbDhOo9Fh61Bbu23T2qCk
Always You,2022-10-15 20:41,Louis Tomlinson,4086,5KcT9rJDqQJUSFF3O9wPJ5
Believe,2023-01-29 11:24,Cher,18197,6akbXZeXdrWWsG77ZD3cuD
Big Bang,2022-06-16 21:29,Usted Señalemelo,3818794,1tgYWMpHWhhvr0hgOyCZsp
Birds,2022-11-09 03:08,Coldplay,74814,3HWDWyIqWuLsTHECx9DvXF
Caraluna,2022-10-17 21:11,Bacilos,266160,4XTMj7kd8DHLl0r7ghmEAr
Castle on the Hill,2022-10-17 18:04,Ed Sheeran,776396,6PCUP3dWmTjcTtXY02oFdT
Chance,2022-06-02 15:33,Paulo Londra,2351704,0hZiB1nudi9m6CxbqvbRWA
Crimen,2023-01-06 22:40,Gustavo Cerati,9450,2vxrPN0Tytx3RPsRgxpCvD
DAME,2023-01-21 20:40,Quevedo,742481,5yocaqYG38qpSSxV1t0o3D
Defenceless,2022-10-15 20:41,Louis Tomlinson,1764,74YzCrLzu7fw0AasX3CEwv
Demons,2022-06-11 04:15,Imagine Dragons,31953,2Oehrcv4Kov0SuIgWyQY9e
Don't Let It Break Your Heart,2022-10-15 20:40,Louis Tomlinson,3529,4nbQRLAPq202lsQsv9FNwK
Everywhere,2023-02-25 18:47,Niall Horan,710962,4JaSZOkqza4Zhq1AM2bcXm
Fire Away,2023-05-28 21:11,Niall Horan,206362,3ul8YWNcs8z5cmudWmg0hA
Flaca,2023-01-18 09:22,Andrés Calamaro,832959,1p7m9H4H8s0Y7SgRm7j3ED
Flicker,2023-02-25 18:44,Niall Horan,1793541,5lsRkYiIerlfXMMrl4zkJG
Galway Girl,2022-10-17 18:07,Ed Sheeran,341652,0afhq8XCExXpqazXczTSve
Happier,2022-11-04 16:58,Ed Sheeran,207520,2RttW7RAu5nOAfq6YFvApB
Heaven,2023-02-25 16:19,Niall Horan,5047296,7Ewz6bJ97vUqk5HdkvguFQ
Hymn for the Weekend,2022-10-16 03:05,Coldplay,774798,3RiPr603aXAoi4GHyXx0uy
I Lived,2022-08-07 09:20,OneRepublic,469092,7D49Iig0avHre9RFSUMkd2
Intro,2022-10-12 01:58,Barnes Blvd.,668879,41peSYpNPJcLZ3wNklww85
Isla,2022-09-11 17:33,Bandalos Chinos,5220238,4itQ4aRHnlAhzmhcKW0uKk
It's Time,2022-06-11 04:10,Imagine Dragons,724694,3xqF04FdMK7gpIPG3SPFpY
Locked Away (feat. Adam Levine),2022-08-07 09:04,R. City,909920,7x5xYW5W42OGPAdHUyyguy
Madrugada,2022-10-16 15:02,La Beriso,1337905,4FZDR0xhWiDw7CXnGZlFLs
Marte,2022-06-03 22:21,Sofía Reyes,2860435,1uK5rDY3BnikyG0sl3tPpc
Mil Horas,2023-01-22 14:59,Los Abuelos De La Nada,167946,4t2a1Kh38RTOPthL66TUMh
Mirrors,2023-05-28 21:22,Niall Horan,218396,47YK9mBRXyPF0EFk3KDXrA
Miénteme,2022-10-17 22:34,TINI,397146,0cOa970mzTWAxKtltpkpLc
Muerte En Hawaii,2023-01-18 12:46,Calle 13,242720,3kNVYo6BJE9AENxzokM9YC
New Man,2022-11-04 17:01,Ed Sheeran,189280,5HDPtsnyb3maFmPL8LLUTG
Paper Houses,2023-05-28 17:36,Niall Horan,214525,57AHPLhNAWpiS7g198jeTA
Para que el mundo lo vea - Acústico,2022-10-17 20:18,Arnau Griso,225825,6IukuUL2wwXBMQgbNsBnKK
Paradise,2022-09-27 21:48,Coldplay,1901970,6nek1Nin9q48AVZcWs9e9D
Perfect,2022-11-04 16:51,Ed Sheeran,263400,0tgVpDi06FyKpA1z0VMD4v
Photograph,2023-04-01 12:00,Ed Sheeran,258986,1HNkqx9Ahdgi1Ixy2xkKkL
Puedo Con Esto - Fuera de Foco,2022-06-09 19:54,Plastilina,3807286,7b20UD7LTaWHH1DIyL3ECx
QUEREME,2022-06-17 15:01,LOUTA,20285088,0bhWW1Bve1Ng6kEm8WjiQA
Quilombo,2022-06-28 12:53,Santi Celli,2771270,47FFs9FC5psqTqiom9Dx0H
Seeing Blind,2023-03-15 14:59,Niall Horan,458805,1CxLWO9XW1aK4yv7zViVdn
Shape of You,2022-11-01 21:38,Ed Sheeran,9514,4KNEbv37cHOoaUATPlpDTm
Slow Hands,2022-09-18 12:40,Niall Horan,1831521,38yBBH2jacvDxrznF7h08J
Superheroes,2022-06-11 04:06,The Script,261340,37sINbJZcFdHFAsVNsPq1i
Te lo juro - Acústico,2022-09-08 22:17,Arnau Griso,688228,5T28d6NbnAwpwQ1Guvq8YO
Terminales,2022-10-16 14:47,Cruzando El Charco,1715317,7MS6MS0mEU0hUyHhZ8OcLh
This Town,2022-09-18 12:28,Niall Horan,2469220,3UwT4FadEGWyMdaSwYcUBY
Timber (feat. Ke$ha),2023-05-21 07:20,Pitbull,86401,3cHyrEgdyYRjgJKSOiOtcS
Too Much To Ask,2023-02-25 18:14,Niall Horan,1760247,4v094LQ9eF10k2O2Te2ngK
Tu Amor,2022-11-28 14:31,Charly García,186466,0NwN2Qr3f8GRICUO1Zb60x
Two of Us,2022-10-15 20:40,Louis Tomlinson,1927,1eqwjXdMTed8Pz3PLNcHe9
Umbrella,2022-06-11 04:15,Rihanna,4752813,5GCgC77m6EaAqu7ZlukMu2
Una Noche en Medellín,2022-06-10 20:30,Cris Mj,1547918,1O2pcBJGej0pmH2Y9XZMs6
Vámonos,2023-02-26 00:16,Benjamín Amadeo,165503,5myKO56bSuaqnsOLrsIkbN
Wake Me Up,2022-10-17 18:19,Avicii,458165,0ygAYQQy7bfDN6gH640bbl
