trackName,endTime,artistName,msPlayed,uri
+,2022-06-10 10:02,Aitana,5005267,5Cbo7oz78gqkzV3EAM63VA
18,2022-06-03 10:17,One Direction,6716704,3JjnGLK8IxkNLvo8Lb3KOM
4runner,2023-04-28 21:24,prettyboyshav,2428394,1RaF9xwakfao1RRknWyYB5
7 Minutes,2022-06-29 17:05,Dean Lewis,3987212,6FYbr9QzRoZPh0Re8lDO9z
About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”,2022-06-02 22:18,MARINA,664734,4XII12nbsvJblXfG1I2QR4
All of the Stars,2022-06-02 22:48,Ed Sheeran,2279442,3SZLtkoHoECHHuOnNkNCuS
Always,2022-06-03 20:48,Isak Danielson,2805317,2bdCO4UTMX1ennK2I4rFpD
Always Be 2.0,2022-06-02 22:41,Caleb Hearn,878451,4woCuWKAYc4ernzgJViojh
Amnesia,2022-06-13 22:31,5 Seconds of Summer,4772238,0dIOvducp7ujHTqj66cQ3X
Are You With Me,2022-06-24 13:46,nilu,2648039,2NTww3JSBHpySR2plYyAd6
Back To You,2022-06-02 22:48,Selena Gomez,4277900,514rhnksEwHUh6LxXsQ4Y9
Bajo El Agua,2022-06-03 10:13,Manuel Medrano,1136490,5QSYWruQQ7kBCHScI4xJ9g
Broken,2022-06-02 22:48,Isak Danielson,4239627,4oLLl2b0pZ5Ksp4SWISJyx
Brother,2022-06-02 22:22,Kodaline,6484710,65gLJGey4u4KFFqoC5fzFJ
Car's Outside - Acoustic,2022-09-02 16:16,James Arthur,8517004,0FJlNZyxbicLmzOvNl8PJs
Chasing Cars,2022-06-03 10:17,Sleeping At Last,1245747,2d7LPtieXdIYzf7yHPooWd
Cherry Wine,2022-06-02 22:45,grentperez,528094,1a1LrfgkTvfHFykIxcv8WU
Chosen Last,2022-06-02 22:30,Sara Kays,335142,3NDgV66iYYySIgo5RSvQ5d
Come Close,2022-06-02 22:34,Anson Seabra,1490083,10LSITr9KpQs2uCh7g2QQh
