endTime,artistName,trackName,msPlayed
2022-12-06 18:12,WOS,Protocolo,2816
2022-12-06 18:14,WOS,CONVOY JARANA,147738
2022-12-06 18:15,Arcángel,La Jumpa,34922
2022-12-06 18:18,LOUTA,QUEREME,194840
2022-12-06 18:18,WOS,PANTANO,5802
2022-12-06 18:18,WOS,FRESCO,3273
2022-12-06 18:18,WOS,MUGRE,3370
2022-12-06 18:20,Manuel Turizo,La Bachata,122226
2022-12-06 18:23,Rei,Tu Turrito,164701
2022-12-06 18:25,La Joaqui,Dos Besitos,104243
2022-12-06 18:32,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",152341
2022-12-06 18:34,ROSALÍA,DESPECHÁ,2240
2022-12-06 18:34,Wisin & Yandel,Besos Moja2,5546
2022-12-06 18:34,La Joaqui,Butakera,1301
2022-12-06 18:34,YSY A,CÓMO CHILLA ELLA,102154
2022-12-06 18:38,WOS,PUAJ (sesión),156665
2022-12-06 18:40,WOS,ARRANCARMELO,121741
2022-12-06 22:06,Quevedo,VISTA AL MAR,180672
2022-12-06 22:07,ROSALÍA,DESPECHÁ,3263
2022-12-06 22:07,DJ Tao,CALLEJERO FINO | DJ TAO Turreo Sessions #723,13579
2022-12-06 22:07,La K'onga,El Mismo Aire,10623
2022-12-06 22:07,Bad Bunny,Me Porto Bonito,2176
2022-12-06 22:07,TINI,La Triple T,2346
2022-12-06 22:10,Luar La L,Caile,1399
2022-12-06 22:10,YSY A,A POR TODO,166889
2022-12-06 22:13,Manuel Turizo,Éxtasis,191606
2022-12-06 22:14,Rauw Alejandro,Desesperados,2111
2022-12-06 22:14,La Joaqui,Butakera,65749
2022-12-06 22:15,Shakira,Te Felicito,1920
2022-12-06 22:15,Bizarrap,"Duki: Bzrp Music Sessions, Vol. 50",2453
2022-12-06 22:15,DJ Alex,TU AMOR | E7,1045
2022-12-06 22:15,Manuel Turizo,La Bachata,1386
2022-12-06 22:15,Duki,GIVENCHY,1514
2022-12-06 22:15,Shakira,Monotonía,1813
2022-12-06 22:15,Wisin & Yandel,Besos Moja2,1429
2022-12-06 22:15,Rels B,cómo dormiste?,1301
2022-12-06 22:15,Bad Bunny,Efecto,1344
2022-12-06 22:15,Bad Bunny,Tití Me Preguntó,2645
2022-12-06 22:16,Los Ángeles Azules,Otra Noche,1685
2022-12-06 22:16,Stars Music Chile,Marisola,2517
2022-12-06 22:16,La K'onga,Te Mentiría,2602
2022-12-06 22:16,La Joaqui,Dos Besitos,94485
2022-12-06 22:20,Harry Styles,As It Was,1258
2022-12-06 22:20,Ozuna,Hey Mor,196600
2022-12-06 22:20,Zion & Lennox,Berlin,1854
2022-12-06 22:21,Rauw Alejandro,PUNTO 40,53903
2022-12-06 22:21,Rei,FERNET,1625
2022-12-06 22:23,Rauw Alejandro,PUNTO 40,140480
2022-12-06 22:24,Rei,FERNET,44970
2022-12-07 09:00,ASMR Rain Recordings,2 Hours of Thunder and Rain,509248
2022-12-07 09:25,Morat,Santa Fe,166179
2022-12-07 09:29,Morat,No Se Va,216752
2022-12-07 09:32,Morat,Idiota,183693
2022-12-07 09:32,Morat,506,4396
2022-12-07 09:35,Morat,Aprender A Quererte,229213
2022-12-07 09:39,Reik,La Bella y la Bestia,186359
2022-12-07 09:42,Morat,¿Qué Ganas?,212225
2022-12-07 09:46,Morat,Mil Tormentas,233440
2022-12-07 09:49,TINI,Consejo de Amor,199720
2022-12-07 09:53,Morat,No Termino,239826
2022-12-07 09:59,Morat,Cómo Te Atreves,246501
