endTime,artistName,trackName,msPlayed
2023-04-13 16:40,Mora,Volando - Remix,273474
2023-04-13 16:44,Mora,EN LA ORILLA,235431
2023-04-13 16:44,Quevedo,VISTA AL MAR,20756
2023-04-13 16:48,Bizarrap,"Arcángel: Bzrp Music Sessions, Vol. 54",223019
2023-04-13 16:50,Mora,LA INOCENTE,108874
2023-04-13 16:51,Mora,OJOS COLORAU,61416
2023-04-13 16:51,YSY A,CÓMO CHILLA ELLA,15905
2023-04-13 18:13,TINI,Cupido,126119
2023-04-13 18:16,El Kuelgue,En Avenidas,195306
2023-04-13 18:20,El Kuelgue,Circunvalación,234306
2023-04-13 18:25,El Kuelgue,Cinema,278906
2023-04-13 18:29,El Kuelgue,Galope,225359
2023-04-13 18:32,El Kuelgue,Bondi,209604
2023-04-13 18:36,El Kuelgue,View Master,194111
2023-04-13 18:39,El Kuelgue,Volcan,183030
2023-04-13 18:42,El Kuelgue,Negra Candombera,198133
2023-04-13 18:45,El Kuelgue,Por Ahora,206133
2023-04-13 18:54,El Kuelgue,Bossa & People,302613
2023-04-13 18:57,El Kuelgue,Jimena,213083
2023-04-13 19:02,La Vela Puerca,Zafar,262000
2023-04-13 19:06,Intoxicados,Reggae para Mirtha,269026
2023-04-13 19:10,Cruzando El Charco,Volver a Nacer,214651
2023-04-13 19:14,Lo' Pibitos,El Ritmo de la Vida,222866
2023-04-13 19:16,Los Enanitos Verdes,Lamento Boliviano,117037
2023-04-13 19:18,El Kuelgue,Parque Acuático,172646
2023-04-13 19:22,El Kuelgue,Lucho Gorrión,197379
2023-04-13 19:27,El Kuelgue,El Paraiso de los Perros,300035
2023-04-13 21:33,El Kuelgue,Verte Feliz,7894
2023-04-13 21:33,El Kuelgue,El Paraiso de los Perros,6805
2023-04-13 21:36,Quevedo,VISTA AL MAR,180672
2023-04-13 21:39,Quevedo,SIN SEÑAL,185084
2023-04-13 21:43,Quevedo,PLAYA DEL INGLÉS,237525
2023-04-13 21:46,Quevedo,WANDA,160909
2023-04-13 21:49,Quevedo,SIN SEÑAL,185084
2023-04-13 21:49,Quevedo,PLAYA DEL INGLÉS,3794
2023-04-13 21:49,Quevedo,VISTA AL MAR,4574
2023-04-13 21:52,TINI,Cupido,174369
2023-04-13 21:55,Trueno,LO TENGO,167442
2023-04-13 21:58,ROSALÍA,BESO,194543
2023-04-13 22:00,Mora,COMO HAS ESTAU?,127333
2023-04-13 22:03,Trueno,Hood - Remix,176372
2023-04-13 22:06,Miley Cyrus,Flowers,200454
2023-04-13 22:09,Trueno,SOLO POR VOS,190879
2023-04-14 16:35,Quevedo,VISTA AL MAR,180672
2023-04-14 16:39,Trueno,PANAMA,171149
