endTime,artistName,trackName,msPlayed
2023-04-14 22:33,Arctic Monkeys,I Wanna Be Yours,183956
2023-04-14 22:37,Tom Odell,Another Love,244360
2023-04-14 22:40,Harry Styles,As It Was,167303
2023-04-14 22:46,Lizzy McAlpine,ceilings,182887
2023-04-14 22:49,David Guetta,I'm Good (Blue),175238
2023-04-14 22:52,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",214945
2023-04-14 22:58,d4vd,Here With Me,31264
2023-04-15 00:34,d4vd,Here With Me,243380
2023-04-15 00:34,Eslabon Armado,Ella Baila Sola,42258
2023-04-15 00:36,Gen Hoshino,Koi,78442
2023-04-15 00:36,Taiu,Rara Vez,6975
2023-04-15 00:37,Sam Smith,Unholy (feat. Kim Petras),65557
2023-04-15 02:35,Sam Smith,Unholy (feat. Kim Petras),91264
2023-04-15 02:37,NewJeans,OMG,3754
2023-04-15 02:37,David Guetta,I'm Good (Blue),122843
2023-04-15 02:40,Lizzy McAlpine,ceilings,182887
2023-04-15 02:45,Ed Sheeran,Eyes Closed,2379
2023-04-15 02:45,Adele,Love In The Dark,285112
2023-04-15 02:49,Sam Smith,Fire On Fire,246735
2023-04-15 02:53,P!nk,What About Us,269600
2023-04-15 02:57,5 Seconds of Summer,Amnesia,237247
2023-04-15 03:01,P!nk,Try,247906
2023-04-15 03:04,Selena Gomez,Wolves,197993
2023-04-15 03:04,Maroon 5,Payphone,4412
2023-04-15 03:08,Sam Fischer,This City,194853
2023-04-15 03:10,The Oh Hellos,"Soldier, Poet, King",165673
2023-04-15 03:13,Lauren Spencer Smith,Flowers,157373
2023-04-15 03:36,Taylor Swift,cardigan,151561
2023-04-16 18:54,Adele,Love In The Dark,285935
2023-04-16 18:58,Ruelle,I Get to Love You,239362
2023-04-16 19:02,Michael Schulte,Falling Apart,198573
2023-04-16 19:05,Anson Seabra,Magazines,136181
2023-04-16 23:42,Sam Fischer,This City,2431
2023-04-16 23:42,Ryn Weaver,Pierre,2218
2023-04-16 23:42,Avicii,The Nights,19230
2023-04-16 23:42,Anson Seabra,Magazines,83837
2023-04-16 23:42,Oh Wonder,White Blood,6101
2023-04-16 23:42,Anson Seabra,Welcome to Wonderland,1600
2023-04-16 23:42,MARINA,About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”,1749
2023-04-16 23:46,Lord Huron,The Night We Met,208211
2023-04-16 23:46,Benson Boone,In The Stars,7390
2023-04-16 23:46,Zac Efron,Rewrite The Stars,9365
2023-04-16 23:46,Sasha Alex Sloan,Older,8170
2023-04-16 23:49,Tate McRae,that way,175026
2023-04-16 23:50,Stephen Sanchez,Until I Found You,1920
2023-04-16 23:50,Rosa Linn,SNAP,81492
2023-04-16 23:50,BANNERS,Someone To You - Acoustic,1002
2023-04-16 23:51,James Smith,Tell Me That You Love Me,1855
2023-04-16 23:51,Tate McRae,she's all i wanna be,1685
2023-04-16 23:51,Novo Amor,Faux,2197
2023-04-16 23:51,Tate McRae,you broke me first,7167
2023-04-16 23:51,Morat,Ya No Estás Tú,18602
2023-04-16 23:51,Maddie Zahm,Fat Funny Friend,1066
2023-04-16 23:54,Lauren Spencer Smith,Fingers Crossed,1322
2023-04-16 23:54,Madison Beer,Selfish,1365
2023-04-16 23:54,Tate McRae,you broke me first,169265
2023-04-16 23:54,Reik,Ya Me Enteré,5802
2023-04-16 23:54,Stephen Sanchez,Until I Found You - Piano Version,2560
2023-04-16 23:54,James Arthur,Train Wreck,4437
2023-04-16 23:54,Maddie Zahm,Fat Funny Friend,19413
2023-04-16 23:58,We Three,Sara,211175
2023-04-17 00:01,Aitana,+,219367
2023-04-17 00:17,Matthew Mole,Running After You,10068
2023-04-17 09:55,Bad Bunny,Me Porto Bonito,178567
2023-04-17 09:58,FIFTY FIFTY,Cupid - Twin Ver.,174253
2023-04-17 10:02,Yandel,Yandel 150,216148
2023-04-17 10:05,KAROL G,TQG,197933
2023-04-17 10:07,Manuel Turizo,La Bachata,162637
2023-04-17 10:11,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",198937
2023-04-17 10:13,Harry Styles,As It Was,167303
2023-04-17 10:17,Miley Cyrus,Flowers,200600
2023-04-17 10:20,Post Malone,Chemical,184013
2023-04-17 10:22,OneRepublic,I Ain't Worried,148485
2023-04-17 10:25,Morgan Wallen,Last Night,163854
