endTime,artistName,trackName,msPlayed
2022-06-01 19:54,ANTES QUE NADIE,SITUACIONES QUE HAY QUE DECONSTRUIR ,787815
2022-06-01 23:58,WOS,ALMA DINAMITA,137019
2022-06-02 15:26,ANTES QUE NADIE,SITUACIONES QUE HAY QUE DECONSTRUIR ,5572
2022-06-02 15:26,Rauw Alejandro,Desesperados,1648
2022-06-02 15:26,TINI,La Triple T,50131
2022-06-02 15:30,Duki,Si Quieren Frontear,188464
2022-06-02 15:33,Paulo Londra,Chance,193407
2022-06-02 15:35,Daddy Yankee,X ÚLTIMA VEZ,157757
2022-06-02 17:30,WOS,ARRANCARMELO,326349
2022-06-02 17:33,Emilia,intoxicao,168508
2022-06-02 17:36,Morat,París,182187
2022-06-02 17:40,Trueno,TIERRA ZANTA,237658
2022-06-02 17:41,Harry Styles,As It Was,74810
2022-06-02 17:45,Gauchito Club,Bar en la playa,221697
2022-06-02 17:46,Paulo Londra,Plan A,50242
2022-06-02 17:50,Clara Cava,Todos los Fds,229947
2022-06-02 21:54,NADIE DICE NADA ,TU INFALIBLE SEXUAL,19295
2022-06-02 21:54,ANTES QUE NADIE,¿DEJAR O SER DEJADO?,2750163
2022-06-02 21:54,Clara Cava,Desierto,23
2022-06-02 22:58,NADIE DICE NADA ,MANÍAS SEXUALES ,915655
2022-06-02 23:01,Oscu,Numero 1,2832
2022-06-02 23:01,La Pantera,"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]",25227
2022-06-02 23:01,Emilia,cuatro veinte,131398
2022-06-02 23:06,Bizarrap,"Paulo Londra: Bzrp Music Sessions, Vol. 23",258541
2022-06-02 23:09,Duki,Esto Recién Empieza,172352
2022-06-02 23:13,Trueno,ARGENTINA,233214
2022-06-02 23:18,Ryan Castro,Jordan,1695
2022-06-02 23:18,Duki,Si Quieren Frontear,188437
2022-06-02 23:18,KAROL G,PROVENZA,23306
2022-06-02 23:18,LIT killah,La Trampa es Ley,141864
2022-06-02 23:21,Bad Bunny,Moscow Mule,183228
2022-06-02 23:22,Rauw Alejandro,Desesperados,1323
2022-06-02 23:24,TINI,La Triple T,160470
2022-06-02 23:26,Emilia,cuatro veinte,123873
2022-06-02 23:28,Mora,TUS LÁGRIMAS,103572
2022-06-03 02:19,Bad Bunny,Moscow Mule,245939
2022-06-03 02:20,Bad Bunny,Un Coco,57056
2022-06-03 02:23,Bad Bunny,El Apagón,201816
2022-06-03 02:27,Bad Bunny,Dos Mil 16,208615
2022-06-03 02:30,Bad Bunny,La Corriente,198367
2022-06-03 02:34,Bad Bunny,Dos Mil 16,208615
2022-06-03 02:34,Bad Bunny,Efecto,2711
2022-06-03 19:26,Bad Bunny,Efecto,161564
2022-06-03 19:29,Bad Bunny,Me Fui de Vacaciones,180929
2022-06-03 19:31,Bad Bunny,Un Verano Sin Ti,148143
2022-06-03 19:35,Bad Bunny,Después de la Playa,218719
2022-06-03 19:38,Bad Bunny,Aguacero,192957
2022-06-03 19:41,Tiago PZK,Nos Comemos (feat. Ozuna),191086
2022-06-03 19:44,Tiago PZK,Nos Comemos (feat. Ozuna),191086
2022-06-03 19:47,Cazzu,Maléfica,183413
2022-06-03 19:50,Emilia,intoxicao,168508
2022-06-03 19:56,Tiago PZK,Nos Comemos (feat. Ozuna),65479
2022-06-03 19:57,Tiago PZK,Nos Comemos (feat. Ozuna),61546
2022-06-03 22:03,Emilia,cuatro veinte,131398
2022-06-03 22:08,FMK,Tu Nombre,198920
2022-06-03 22:12,Bizarrap,"Paulo Londra: Bzrp Music Sessions, Vol. 23",258541
2022-06-03 22:14,Salastkbron,TITAN,122136
2022-06-03 22:17,Morat,París,182187
2022-06-03 22:21,Sofía Reyes,Marte,218800
2022-06-03 22:24,Duki,Antes de Perderte,176727
2022-06-03 22:28,Trueno,ARGENTINA,233214
2022-06-03 22:30,TINI,Fantasi,158080
2022-06-03 22:38,LIT killah,La Trampa es Ley,65739
2022-06-03 22:43,Paulo Londra,Plan A,21164
2022-06-03 22:43,TINI,La Triple T,167674
2022-06-03 22:46,Sebastian Yatra,Tacones Rojos,1416
2022-06-03 22:46,Sebastian Yatra,Tacones Rojos,189320
2022-06-03 22:46,TINI,Maldita Foto,9801
2022-06-03 22:47,TAICHU,FASHION DILLER,18041
2022-06-03 22:50,Sebastian Yatra,Tacones Rojos,12240
2022-06-03 22:50,Sebastian Yatra,Tacones Rojos,189320
2022-06-03 22:53,Alesso,Sad Song (feat. TINI),5882
2022-06-03 22:53,TINI,La Triple T,167674
2022-06-03 22:56,Sebastian Yatra,Tacones Rojos,189320
2022-06-03 22:59,Sebastian Yatra,Tacones Rojos,189320
2022-06-03 23:00,Sebastian Yatra,Tacones Rojos,20695
2022-06-03 23:02,TINI,La Triple T,125852
2022-06-03 23:12,TINI,Great Escape,14559
2022-06-03 23:15,Paulo Londra,Plan A,178202
2022-06-04 01:34,La Pantera,"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]",357190
2022-06-04 01:34,Malena Villa,Hoy qué haces?,2901
2022-06-04 01:35,Malena Villa,Velocidad,17621
2022-06-04 01:35,Malena Villa,Olvidarme,32234
2022-06-04 03:42,Gauchito Club,La Pibita,5642
2022-06-04 03:42,Malena Villa,Hoy qué haces?,14028
2022-06-04 03:43,Gauchito Club,Onliyu,96293
2022-06-04 03:47,Gauchito Club,Bar en la playa,221697
2022-06-04 03:51,Gauchito Club,Encendedor,212759
2022-06-04 03:55,Gauchito Club,La Pibita,256557
2022-06-04 03:59,Gauchito Club,Lowcost,241083
2022-06-04 04:02,Gauchito Club,La Pibita - En Vivo,12431
2022-06-04 04:02,Gauchito Club,Ay Chinita,170201
2022-06-04 16:19,Gauchito Club,La Pibita - En Vivo,235102
2022-06-04 16:22,Gauchito Club,El camino de la libertad,202440
2022-06-04 16:25,Gauchito Club,El baile universal,179859
2022-06-04 16:29,Gauchito Club,Movimiento Astral,259075
2022-06-04 16:30,Gauchito Club,Volver - En Vivo,3429
2022-06-04 16:34,Gauchito Club,La pálida,219770
2022-06-04 16:38,Gauchito Club,Onliyu,221817
2022-06-04 16:40,Gauchito Club,Encendedor,164289
2022-06-04 18:57,Gauchito Club,Encendedor,55718
2022-06-04 19:01,Clara Cava,Días de Paja,233691
2022-06-04 19:05,Clara Cava,Todos los Fds,231044
2022-06-04 19:08,Clara Cava,X El Barrio,202484
2022-06-04 19:12,Chechi de Marcos,Que te hizo ir,221333
2022-06-04 19:16,Gauchito Club,Tu nombre me tatué,227763
2022-06-04 19:20,Gauchito Club,Bar en la playa,221697
2022-06-04 19:22,un muerto mas,La isla del sol,131333
2022-06-04 19:27,Chechi de Marcos,Que te hizo ir,221333
2022-06-04 19:43,Ainda,Kilómetros,212229
2022-06-04 19:44,Gauchito Club,Onliyu,96282
2022-06-04 19:47,Tiago PZK,Nos Comemos (feat. Ozuna),191086
2022-06-04 19:48,Tiago PZK,Nos Comemos (feat. Ozuna),22524
2022-06-04 19:50,TAICHU,FASHION DILLER,161638
2022-06-04 19:51,TAICHU,FASHION DILLER,17537
2022-06-04 19:53,Tiago PZK,Hablando De Love,156090
2022-06-04 19:54,Tiago PZK,Hablando De Love,30353
2022-06-04 19:54,Tiago PZK,Nos Comemos (feat. Ozuna),2670
2022-06-04 19:59,BANDIDO,"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",280274
2022-06-04 20:03,Nicki Nicole,Dame,237548
2022-06-04 20:06,Tiago PZK,Sola - Neuen Live Sessions - En Vivo,196600
2022-06-04 20:08,FMK,Prende la Cámara,148716
2022-06-04 20:12,Dani Ribba,Cuando Me Ves,199879
2022-06-04 20:15,Tiago PZK,Salimo de Noche,177857
2022-06-04 20:16,Bizarrap,"Tiago PZK: Bzrp Music Sessions, Vol. 48",57812
2022-06-05 01:20,Bizarrap,"Tiago PZK: Bzrp Music Sessions, Vol. 48",188932
2022-06-05 01:20,Rusherking,Además de Mí - Remix,1482
2022-06-05 01:23,Eladio Carrion,Sin Frenos,211394
2022-06-05 01:26,Trueno,DANCE CRIP,165019
2022-06-05 01:31,Trueno,Ñeri,194734
2022-06-05 01:34,Trueno,Mamichula - con Nicki Nicole,188781
2022-06-05 01:34,KHEA,Ayer Me Llamó Mi Ex (feat. Lenny Santos),4551
2022-06-05 01:37,Bizarrap,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",171215
2022-06-05 01:40,LIT killah,Flexin',179383
2022-06-05 01:43,Paulo Londra,No Puedo,175028
2022-06-05 01:43,WOS,CAMBIANDO LA PIEL,21652
2022-06-05 01:47,Duki,Si Quieren Frontear,200337
2022-06-05 01:49,LIT killah,La Trampa es Ley,23862
2022-06-05 01:52,WOS,ARRANCARMELO,183547
2022-06-05 01:53,Sofía Reyes,Marte,49267
2022-06-06 16:27,Gauchito Club,Tu nombre me tatué,3925
2022-06-06 16:31,WOS,ARRANCARMELO,183547
2022-06-06 16:35,Gauchito Club,Bar en la playa,221697
2022-06-06 16:39,Gauchito Club,Tu nombre me tatué,227763
2022-06-06 16:43,WOS,Protocolo,254208
2022-06-06 16:46,WOS,MUGRE,185728
2022-06-07 00:27,¿Juan Julian?,Berlín,165590
2022-06-07 00:30,Axel Fiks,Ojitos de Md - Remix,170192
2022-06-07 00:30,El Kuelgue,Negra Candombera,11888
2022-06-07 00:34,Chechi de Marcos,Que te hizo ir,221333
2022-06-07 00:38,Clara Cava,Desierto,222187
2022-06-07 00:41,Números Primos,Una Forma de Energía Que Ilumina las Cosas,200944
2022-06-07 00:45,El Kuelgue,La Fama,220021
2022-06-07 00:47,Santi Celli,Por Amor al Arte,122456
2022-06-07 04:30,Waralu,Sabes Bien,135650
2022-06-07 04:33,Nicolás Carou,"Dicen Que Dicen, Dicen",180992
2022-06-07 04:34,Los Piojos,Tan Solo,835
2022-06-07 04:34,Usted Señalemelo,Agua Marfil,44153
2022-06-07 04:37,El Kuelgue,Chiste,12074
2022-06-07 04:37,Joven Breakfast,Nublado,162307
2022-06-07 04:39,Maria Becerra,OJALÁ,138576
2022-06-07 04:43,Trueno,ARGENTINA,233214
2022-06-07 04:48,Kevin Johansen,Cumbiera Intelectual,301480
2022-06-07 04:53,Kevin Johansen,Sur o No Sur (feat. León Gieco),290666
2022-06-07 17:45,Kevin Johansen,Guacamole,219801
2022-06-07 17:46,WOS,ARRANCARMELO,34538
2022-06-07 17:47,WOS,ALMA DINAMITA,56511
2022-06-07 17:47,WOS,OKUPA,17471
2022-06-07 17:49,WOS,CANGURO,20031
2022-06-07 17:49,Malena Villa,Lindos Problemas,7765
2022-06-07 17:59,Malena Villa,Salvaje,27903
2022-06-07 18:04,WOS,Protocolo,15019
2022-06-07 18:04,WOS,ARRANCARMELO,183547
2022-06-07 18:07,WOS,MIRÁ MAMÁ,169536
2022-06-07 18:10,WOS,CONVOY JARANA,158123
2022-06-07 18:13,WOS,MELÓN VINO,176394
2022-06-07 18:16,WOS,ANDRÓMEDA,171475
2022-06-07 18:18,WOS,QUE SE MEJOREN,114548
2022-06-07 18:20,WOS,FRESCO,133027
2022-06-07 22:40,ANTES QUE NADIE, TRAUMAS INFANTILES,2586121
2022-06-08 13:01,WOS,LUZ DELITO,1346
2022-06-08 13:01,ANTES QUE NADIE, TRAUMAS INFANTILES,31904
2022-06-08 13:04,WOS,ARRANCARMELO,183547
2022-06-08 13:07,WOS,MELÓN VINO,176394
2022-06-08 13:11,WOS,TERRAZA,234949
2022-06-08 13:14,WOS,NIÑO GORDO FLACO,144129
2022-06-08 13:17,WOS,GATO NEGRO,195864
2022-06-08 13:20,WOS,CULPA,185276
2022-06-08 20:19,WOS,CULPA,222822
2022-06-08 20:22,WOS,ANDRÓMEDA,171475
2022-06-08 20:26,Gauchito Club,Bar en la playa,221697
2022-06-08 20:29,Gauchito Club,El camino de la libertad,202440
2022-06-08 20:33,Gauchito Club,Tu nombre me tatué,227763
2022-06-08 20:36,WOS,ARRANCARMELO,183547
