endTime,artistName,trackName,msPlayed
2022-06-01 10:49,Lily Allen,Fuck You,58503
2022-06-01 21:56,Lord Huron,The Night We Met,158638
2022-06-02 13:47,Morat,En Un Sólo Dia,1880
2022-06-02 13:47,Morat,Mi Nuevo Vicio,4040
2022-06-02 13:51,Morat,Aprender A Quererte,229213
2022-06-02 13:55,Morat,Yo Más Te Adoro,202426
2022-06-02 13:59,Morat,Di Que No Te Vas,238160
2022-06-02 14:03,Morat,Cómo Te Atreves,240560
2022-06-02 14:07,Morat,Una Vez Más,241733
2022-06-02 14:10,Morat,Mil Tormentas,233440
2022-06-02 14:15,Morat,Ahora Que No Puedo Hablar,264680
2022-06-02 14:19,Morat,Cuánto Me Duele,230160
2022-06-02 14:22,Morat,Ya No Estás Tú,199826
2022-06-02 14:26,Paulina Rubio,Mi Nuevo Vicio,241320
2022-06-02 14:29,Morat,Amor Con Hielo,203960
2022-06-02 14:32,Morat,Besos En Guerra,129214
2022-06-02 22:05,Anson Seabra,Peter Pan Was Right,192497
2022-06-02 22:08,Birdy,Deep End,208840
2022-06-02 22:11,lovelytheband,broken,204878
2022-06-02 22:14,Julia Michaels,What A Time (feat. Niall Horan),173306
2022-06-02 22:18,Nabález,La Correcta,1486
2022-06-02 22:18,James Smith,Tell Me That You Love Me,1602
2022-06-02 22:18,MARINA,About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”,1834
2022-06-02 22:18,Matt Landi,"Oh Man, What a View!",8855
2022-06-02 22:18,Alessia Cara,River Of Tears,254506
2022-06-02 22:22,Kodaline,Brother,203186
2022-06-02 22:25,Gym Class Heroes,Stereo Hearts (feat. Adam Levine),210960
2022-06-02 22:30,Sara Kays,Chosen Last,28214
2022-06-02 22:30,Anson Seabra,When It's Over,257333
2022-06-02 22:33,Selena Gomez,Lose You To Love Me,206457
2022-06-02 22:34,Anson Seabra,Come Close,30210
2022-06-02 22:36,Olivia Rodrigo,favorite crime,152666
2022-06-02 22:40,Reik,Ya Me Enteré,204173
2022-06-02 22:41,Caleb Hearn,Always Be 2.0,72285
2022-06-02 22:41,Keala Settle,This Is Me,10495
2022-06-02 22:45,Adele,Easy On Me,6889
2022-06-02 22:45,grentperez,Cherry Wine,2205
2022-06-02 22:45,Anson Seabra,Magazines,220049
2022-06-02 22:45,Morat,Mi Nuevo Vicio,2461
2022-06-02 22:48,Ryn Weaver,Pierre,202733
2022-06-02 22:48,Selena Gomez,Back To You,4109
2022-06-02 22:48,Isak Danielson,Broken,6999
2022-06-02 22:48,Ed Sheeran,All of the Stars,3088
2022-06-02 22:48,Morat,Ladrona,1114
2022-06-02 22:51,Anson Seabra,"It's Raining, It's Pouring",183089
2022-06-02 22:54,Sleeping At Last,"July 22, 2020: C / 2020 F3 - Comet Neowise",184645
2022-06-02 22:58,Julie and the Phantoms Cast,Perfect Harmony (feat. Madison Reyes & Charlie Gillespie),204000
2022-06-02 22:58,Morat,Cómo Te Atreves,20102
2022-06-02 23:02,Oh Wonder,White Blood,257426
2022-06-02 23:06,We Three,Sara,211175
2022-06-03 02:18,Jasmine Thompson,Will Follow You Into the Dark,204091
2022-06-03 02:19,Stephen Sanchez,Until I Found You,1648
2022-06-03 02:19,Tai Verdes,AOK,1300
2022-06-03 02:19,BANNERS,Someone To You - Acoustic,91315
2022-06-03 02:19,Beret,Vuelve,2716
2022-06-03 02:22,Morat,Yo Más Te Adoro,2763
2022-06-03 02:22,Ashe,Moral of the Story,2252
2022-06-03 02:22,Ashe,Moral of the Story,882
2022-06-03 02:22,James TW,When You Love Someone,129753
2022-06-03 02:22,Michael Schulte,Falling Apart,2739
2022-06-03 02:22,Michael Schulte,Falling Apart,1253
2022-06-03 02:25,M83,Wait,1625
2022-06-03 02:25,Sara Kays,Remember That Night?,12863
2022-06-03 02:25,Finding Hope,Nightlight,1602
2022-06-03 02:25,Morat,Yo Más Te Adoro,1068
2022-06-03 02:25,Ashe,Moral of the Story,187640
2022-06-03 02:25,Sabrina Carpenter,Skin,5038
2022-06-03 02:25,Morat,Ya No Estás Tú,998
2022-06-03 02:25,Dylan Conrique,birthday cake,1718
2022-06-03 02:29,Morat,En Un Sólo Dia,2507
2022-06-03 02:29,Sam Fischer,This City,194853
2022-06-03 02:29,Ludovico Einaudi,Nuvole Bianche,36520
2022-06-03 02:29,Morat,Ahora Que No Puedo Hablar,1695
