endTime,artistName,trackName,msPlayed
2022-06-01 22:50,Danny Ocean,Fuera del mercado,127402
2022-06-02 00:57,Bizarrap,"Tiago PZK: Bzrp Music Sessions, Vol. 48",511
2022-06-02 00:57,Emanero,BANDIDO,618
2022-06-02 00:57,Oscu,Numero 1,106
2022-06-02 00:57,Ryan Castro,Jordan,575
2022-06-02 00:57,FMK,Tranquila,426
2022-06-02 00:57,Paulo Londra,Plan A,597
2022-06-02 00:57,Maria Becerra,Felices x Siempre,170
2022-06-02 00:57,Becky G,MAMIII,426
2022-06-02 00:57,Mora,TUS LÁGRIMAS,191
2022-06-02 00:57,Polimá Westcoast,ULTRA SOLO,383
2022-06-02 00:57,TINI,Bar,320
2022-06-02 00:57,Danny Ocean,Fuera del mercado,156821
2022-06-02 00:57,Los Ángeles Azules,Otra Noche,469
2022-06-02 00:57,Cazzu,Maléfica,511
2022-06-02 00:57,La K'onga,Universo Paralelo,533
2022-06-02 00:57,Morat,París,511
2022-06-02 00:57,TINI,Miénteme,170
2022-06-02 00:57,Bad Bunny,Efecto,746
2022-06-02 00:57,Bad Bunny,Un Ratito,234
2022-06-02 00:57,Bad Bunny,Tarot,383
2022-06-02 00:57,Tiago PZK,Entre Nosotros (Remix) [con Nicki Nicole],448
2022-06-02 00:57,Duki,Esto Recién Empieza,255
2022-06-02 00:58,Bad Bunny,Party,640
2022-06-02 00:58,Cazzu,Maléfica,277
2022-06-02 00:58,Cazzu,Maléfica,917
2022-06-02 00:58,Bad Bunny,Efecto,1045
2022-06-02 00:58,Bad Bunny,Efecto,27520
2022-06-02 01:01,Paulo Londra,Plan A,7584
2022-06-02 01:01,Morat,París,182187
2022-06-02 01:04,Mora,TUS LÁGRIMAS,174482
2022-06-02 01:07,Bad Bunny,A Tu Merced,3903
2022-06-02 01:07,TINI,Carne y Hueso,178309
2022-06-02 01:10,Sech,Wao,178266
2022-06-02 01:15,KHEA,Ayer Me Llamó Mi Ex – Remix,256253
2022-06-02 01:19,Duki,She Don't Give a Fo,201813
2022-06-02 02:39,Emilia,la balada,165959
2022-06-02 02:39,Emilia,rápido lento,23330
2022-06-02 02:42,Emilia,cielo en la mente,169566
2022-06-02 02:43,Emilia,latin girl,66242
2022-06-02 13:13,Emilia,mi otra mitad,166714
2022-06-02 13:16,Morat,París,182187
2022-06-02 13:19,Danny Ocean,Fuera del mercado,159849
2022-06-02 13:22,Emilia,la balada,165959
2022-06-02 13:24,Emilia,cielo en la mente,16640
2022-06-02 13:24,Emilia,rápido lento,129804
2022-06-02 13:27,WOS,ARRANCARMELO,183547
2022-06-02 13:30,Bizarrap,"Tiago PZK: Bzrp Music Sessions, Vol. 48",160000
2022-06-02 13:33,Morat,París,182187
2022-06-02 13:37,Polimá Westcoast,ULTRA SOLO,227220
2022-06-02 13:39,Danny Ocean,Fuera del mercado,159849
2022-06-02 13:42,Emilia,la balada,165959
2022-06-02 13:45,Mora,TUS LÁGRIMAS,174482
2022-06-02 13:48,Bad Bunny,A Tu Merced,18842
2022-06-02 13:48,TINI,Carne y Hueso,178309
2022-06-02 13:51,Sech,Wao,178266
2022-06-02 13:52,KHEA,Ayer Me Llamó Mi Ex – Remix,45489
2022-06-02 20:47,Kevin Kaarl,como me encanta,12560
2022-06-02 20:47,WOS,ARRANCARMELO,183547
2022-06-02 20:50,Bizarrap,"Tiago PZK: Bzrp Music Sessions, Vol. 48",160000
2022-06-02 20:53,Morat,París,182187
2022-06-02 20:57,Polimá Westcoast,ULTRA SOLO,227220
2022-06-02 21:00,Danny Ocean,Fuera del mercado,159849
2022-06-02 21:03,Emilia,la balada,165959
2022-06-02 21:05,Mora,TUS LÁGRIMAS,174482
2022-06-02 21:09,TINI,Carne y Hueso,178309
2022-06-02 21:12,Bad Bunny,A Tu Merced,175918
2022-06-02 21:15,Sech,Wao,178266
2022-06-02 21:19,KHEA,Ayer Me Llamó Mi Ex – Remix,256253
2022-06-02 21:23,Duki,She Don't Give a Fo,209531
2022-06-02 21:26,Daddy Yankee,Salgo Pa' la Calle,5583
2022-06-02 21:26,Trueno,BIEN O MAL,176629
2022-06-02 21:30,Giuliano Cobuzzi,Cayó la Noche X Soy Peor,144789
2022-06-02 21:33,Oscu,Numero 1,2368
2022-06-02 21:33,Luck Ra,Te Mentiría Remix,172259
2022-06-02 21:33,Robbie Williams,Rock DJ,6440
2022-06-02 21:35,Rauw Alejandro,Desesperados,22442
2022-06-02 21:35,Anitta,Envolver,75114
2022-06-02 21:36,Bad Bunny,Moscow Mule,11242
2022-06-02 22:03,NADIE DICE NADA ,COSAS QUE TE DAN VERGÜENZA CON EL CHINO LEUNIS,1639424
2022-06-03 13:57,WOS,ARRANCARMELO,183547
2022-06-03 13:59,Bizarrap,"Tiago PZK: Bzrp Music Sessions, Vol. 48",160000
2022-06-03 14:02,Polimá Westcoast,ULTRA SOLO,12946
2022-06-03 14:02,Morat,París,182187
2022-06-03 14:05,Danny Ocean,Fuera del mercado,159849
2022-06-03 14:06,Emilia,la balada,55309
2022-06-03 14:09,Tiago PZK,Nos Comemos (feat. Ozuna),191086
2022-06-03 14:12,Mora,TUS LÁGRIMAS,174482
2022-06-03 14:15,TINI,Carne y Hueso,178309
2022-06-03 14:18,Bad Bunny,A Tu Merced,175918
2022-06-03 14:20,KHEA,Ayer Me Llamó Mi Ex – Remix,2858
2022-06-03 14:20,Sech,Wao,102970
2022-06-03 14:21,Duki,She Don't Give a Fo,82197
2022-06-03 14:58,WOS,ARRANCARMELO,183547
2022-06-03 15:02,Bizarrap,"Tiago PZK: Bzrp Music Sessions, Vol. 48",160000
2022-06-03 15:05,Morat,París,182187
2022-06-03 15:06,Polimá Westcoast,ULTRA SOLO,34962
2022-06-03 15:08,Danny Ocean,Fuera del mercado,159849
2022-06-03 15:09,Emilia,la balada,48013
2022-06-03 15:11,Mora,TUS LÁGRIMAS,25344
2022-06-03 15:14,TINI,Carne y Hueso,178309
2022-06-03 15:21,Bad Bunny,A Tu Merced,80902
2022-06-03 18:14,WOS,ARRANCARMELO,183547
2022-06-03 18:17,Bizarrap,"Tiago PZK: Bzrp Music Sessions, Vol. 48",160000
2022-06-03 18:19,Polimá Westcoast,ULTRA SOLO,2751
2022-06-03 18:19,Morat,París,154396
2022-06-03 18:22,Danny Ocean,Fuera del mercado,159849
