artist,album,track,uri
Christian Leave,Hope,Safe and Sound,spotify:track:3zvzTpFMeZ1j5FkNcQdeaF
Lalo Ebratt,Mocca,Mocca - Remix,spotify:track:1usoXi4f0BnMART4uActEA
Why Don't We,These Girls,These Girls,spotify:track:1Fc4NYNUePCq7ab5ftg7Ty
Joaco Terán,Juntos a La Par,Juntos a La Par,spotify:track:2MgfD774UjkeSlIkgFzdD6
Morat,Sobre El Amor Y Sus Efectos Secundarios... Y Unas Cuantas Cosas Más,Cómo Te Atreves - Versión Acústica,spotify:track:6rHyPMLuCFn9Djfm96xrHP
Bizarrap,"Trueno: Bzrp Music Sessions, Vol. 16","Trueno: Bzrp Music Sessions, Vol. 16",spotify:track:7ouulWlZPefmEIGYWNyiPH
We Three,We Three,Lifeline,spotify:track:7hKh0NFiRRY4nSpfLC2RxT
Jeremy Zucker,thinking 2 much,thinking 2 much,spotify:track:4SRkSRxPeAydDA3HrNTiSs
DDG,Moonwalking in Calabasas (feat. Blueface),Moonwalking in Calabasas (feat. Blueface) - Remix,spotify:track:7o4gBbTM6UBLkOYPw9xMCz
Justin Bieber,Purpose,Love Yourself,spotify:track:3hB5DgAiMAQ4DzYbsMq1IT
LIT killah,Flexin',Flexin',spotify:track:0hwEhPxCBLKiqeBMZavGAv
Danny Ocean,Me Rehúso,Me Rehúso,spotify:track:6De0lHrwBfPfrhorm9q1Xl
DNCE,People To People,Still Good,spotify:track:3snCUIDipfcnwhyIfeDe8f
Fergie,The Dutchess,Fergalicious,spotify:track:1D066zixBwqFYqBhKgdPzp
Lily James,Cinderella,A Dream Is a Wish Your Heart Makes,spotify:track:1Os60uMeNl7vc3tYz342nR
Adele,21,Set Fire to the Rain,spotify:track:73CMRj62VK8nUS4ezD2wvi
No Te Va Gustar,El Calor del Pleno Invierno,Ese Maldito Momento,spotify:track:4xEAPLGnp20PYUlhbKHuTF
Foster The People,Torches,Pumped Up Kicks,spotify:track:7w87IxuO7BDcJ3YUqCyMTT
Why Don't We,Unbelievable,Unbelievable,spotify:track:3anNizayrIeuVv3Mb2KnIR
Zeballos,Asimetría,Te lo Advertí,spotify:track:3IQs81vxBSPrdSUVe9rXF9
KVSH,Tokyo Drift,Tokyo Drift,spotify:track:20WcuVfTh0QFkIsJUncdON
Dolly Parton,Jolene,Jolene,spotify:track:2SpEHTbUuebeLkgs9QB7Ue
Sech,911,911,spotify:track:2TksvaRivgAEj780DgRB73
Milky Chance,Blossom,Cold Blue Rain,spotify:track:0UjhFrd7zuys6fqh439ufX
Río Roma,Otra Vida,Mi Persona Favorita,spotify:track:70fVcEP5pRrxaIICY3DcPe
Khalid,Free Spirit,Alive,spotify:track:12VqHHz4wvVcnEdSivjLeQ
Julie Fowlis,Disney-Pixar All Time Favorites,"Into The Open Air - From ""Brave"" / Soundtrack Version",spotify:track:1NjrOiC3KlEovbhGkyRLMT
Bazzi,Beautiful,Beautiful,spotify:track:1OilOIju6R9ia8vilNjChh
Angela Torres,Simona (Music from the TV Series),Mi destino,spotify:track:4DnXbiQ6DlwHk0Kb3iZTQC
Chelsea Cutler,brent,please,spotify:track:0TzeZppPwhEhySYaNRulr9
Dímelo Flow,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)","El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",spotify:track:684EjRHwNsZQ9hCQxL4NYL
21 Savage,SAVAGE MODE II,Runnin,spotify:track:5SWnsxjhdcEDc7LJjq9UHk
James Arthur,You Deserve Better / At My Weakest,At My Weakest,spotify:track:6rcTyXe8W8kjQLyALBRj1v
TINI,Bar,Bar,spotify:track:0lJE8f0lx8mUSfMyxeYpiC
Ha*Ash,HA-ASH Primera Fila - Hecho Realidad,Ex de Verdad - HA-ASH Primera Fila - Hecho Realidad [En Vivo],spotify:track:40lU8uy8xKKRAP9A1N3BqH
Duko,Lola,Lola,spotify:track:0icidvfDmXmaS5vMQlIPF8
Camilo,Ropa Cara,Ropa Cara,spotify:track:7BIy3EGQhg98CsRdKYHnJC
WOS,LIVE SET,ALMA DINAMITA - Live Set,spotify:track:22e93nNiMUPVqeNHh7FnrS
Brayan Daniel,"Mis Covers, Vol. 1","Recuérdame ""Coco""",spotify:track:4nJcE8oxTz21VUwBWOm3qk
Chano,Claramente,Claramente,spotify:track:73vVORScUIi8QuYSO7dC47
Ariana Grande,Sweetener,the light is coming (feat. Nicki Minaj),spotify:track:0sdbFOyfgAhAhWq8DpzkaW
Jacob Sartorius,Left Me Hangin',Nothin' With You,spotify:track:4wa1M7imCi4RYuEQbAdube
FMK,De Vacaciones,De Vacaciones,spotify:track:0hRKaSIym7bBRZ5oXLUsfx
Maluma,"Pretty Boy, Dirty Boy",¿Dónde Estás? (feat. Farruko),spotify:track:0s3JGOUVkEBDSD4oBGUHSv
WOS,PUAJ (sesión),PUAJ (sesión),spotify:track:6fTxvdEyWl3zZg2XTWO4s8
Abel Pintos,11,Oncemil,spotify:track:3y5ahYM9zwyOCt3mieZ0PZ
The Kid LAROI,F*CK LOVE (SAVAGE),NOT FAIR (feat. Corbin),spotify:track:7E7JTt9rsLPcZcakQcTZXA
David Guetta,2U,2U,spotify:track:762UXiwEHYY97VL45sAUPR
Years & Years,Palo Santo,All For You,spotify:track:2ehnD9UaRVYK6GeUmBFCez
Ozuna,"Baila Baila Baila (Remix) [feat. Farruko, Anuel Aa]",Baila Baila Baila - Remix,spotify:track:7mWFF4gPADjTQjC97CgFVt
Trueno,BIEN O MAL,BIEN O MAL,spotify:track:4n0MBJuHpZ9dnD1BtsOIxB
