artist,album,track,uri
Bryan Adams,Reckless,Ain't Gonna Cry,spotify:track:57hzm0CI2uuIYtB1Etngb8
Calle 13,Entren Los Que Quieran,El Hormiguero,spotify:track:02q7As6vetjqpk8QfDS7wM
Bryan Adams,Reckless,Remember - Live At Hammersmith Odeon/1985,spotify:track:3FMV1a2PhFcfyGjlriKfMR
Guasones,40 Principales Pop & Rock Nacionales,Pasan las Horas (En Vivo),spotify:track:2Mkoew086mdgxkI8TGaaDh
Soda Stereo,Cinco Décadas de Rock Argentino: Quinta Década 2006 - 2016,En la Ciudad de la Furia - En Vivo Me Verás Volver Gira 2007,spotify:track:0SPKUyeyvFRYq0iJMg4gFt
Calle 13,Entren Los Que Quieran,Baile De Los Pobres,spotify:track:6sKKGGCuMDKiP9HProsMah
Lady Gaga,A Star Is Born Soundtrack,Hair Body Face,spotify:track:4gdfWGyzB9j4ZVc2JWdpv2
Jason Mraz,We Sing. We Dance. We Steal Things.,Live High,spotify:track:7M2qyNIe1MQoZBkxNGg7Fh
Fito Paez,Cinco Décadas de Rock Argentino: Quinta Década 2006 - 2016,London Town,spotify:track:4wGaniEU9y7TIO0hUpPKs1
Gustavo Cordera,40 Principales Pop & Rock Nacionales,La Bomba Loca,spotify:track:0rpojb4MnmsrfjIHOZGSzq
Bryan Adams,Reckless,"Teacher, Teacher",spotify:track:3SyaeGqBSKKKS8wfdPbxI5
Calle 13,Entren Los Que Quieran,Muerte En Hawaii,spotify:track:3kNVYo6BJE9AENxzokM9YC
Coro Pascua Joven San Isidro,Se entregó por mí,Tú mirada,spotify:track:2mSbxPcJni56u4cjEUmfkM
Fran Busso,Agua y Harina,Estás Ahí,spotify:track:2fDUomMSCiVHNaNztAGSzj
Train,California 37,Feels Good at First,spotify:track:1TYnyC8RLvMF9k6LKZi3pk
Louis Tomlinson,Walls,Too Young,spotify:track:22sujfahhWDfZejuepLYuE
Bryan Adams,Reckless,Summer Of '69 - Live At Hammersmith Odeon/1985,spotify:track:2a5nM0wuuuXfveLVLVyYIa
