artist,album,track,uri
Bryan Adams,Reckless,Ain't Gonna Cry,57hzm0CI2uuIYtB1Etngb8
Calle 13,Entren Los Que Quieran,El Hormiguero,02q7As6vetjqpk8QfDS7wM
Bryan Adams,Reckless,Remember - Live At Hammersmith Odeon/1985,3FMV1a2PhFcfyGjlriKfMR
Guasones,40 Principales Pop & Rock Nacionales,Pasan las Horas (En Vivo),2Mkoew086mdgxkI8TGaaDh
Soda Stereo,Cinco Décadas de Rock Argentino: Quinta Década 2006 - 2016,En la Ciudad de la Furia - En Vivo Me Verás Volver Gira 2007,0SPKUyeyvFRYq0iJMg4gFt
Calle 13,Entren Los Que Quieran,Baile De Los Pobres,6sKKGGCuMDKiP9HProsMah
Lady Gaga,A Star Is Born Soundtrack,Hair Body Face,4gdfWGyzB9j4ZVc2JWdpv2
Jason Mraz,We Sing. We Dance. We Steal Things.,Live High,7M2qyNIe1MQoZBkxNGg7Fh
Fito Paez,Cinco Décadas de Rock Argentino: Quinta Década 2006 - 2016,London Town,4wGaniEU9y7TIO0hUpPKs1
Gustavo Cordera,40 Principales Pop & Rock Nacionales,La Bomba Loca,0rpojb4MnmsrfjIHOZGSzq
Bryan Adams,Reckless,"Teacher, Teacher",3SyaeGqBSKKKS8wfdPbxI5
Calle 13,Entren Los Que Quieran,Muerte En Hawaii,3kNVYo6BJE9AENxzokM9YC
Coro Pascua Joven San Isidro,Se entregó por mí,Tú mirada,2mSbxPcJni56u4cjEUmfkM
Fran Busso,Agua y Harina,Estás Ahí,2fDUomMSCiVHNaNztAGSzj
Train,California 37,Feels Good at First,1TYnyC8RLvMF9k6LKZi3pk
Louis Tomlinson,Walls,Too Young,22sujfahhWDfZejuepLYuE
Bryan Adams,Reckless,Summer Of '69 - Live At Hammersmith Odeon/1985,2a5nM0wuuuXfveLVLVyYIa
Intoxicados,40 Principales Pop & Rock Nacionales,Nunca Quise,7zEhsKNj7fxOq6I4q5FHiE
Calle 13,Residente o Visitante,Algo Con-Sentido (feat. pg-13),59NxzvkrHL1NvXuVediDQ3
Lady Gaga,A Star Is Born Soundtrack,Is That Alright?,378u8gf9qpJ4ZhxHEvrodl
Imagine Dragons,Night Visions,Every Night,0CpQCN7nEz6tH6THwcJdzw
Dante Spinetta,Cinco Décadas de Rock Argentino: Quinta Década 2006 - 2016,Alelí (feat. Fito Paez),7JUOxUoJ67lSvW9iM4duOy
vaultboy,everything sucks,everything sucks,3z06k8YF9CqX0CGFrlekOK
Red Hot Chili Peppers,Californication,Right on Time,66wnTJJ7Vo0GW02CMP3etR
Imagine Dragons,Night Visions,Nothing Left To Say / Rocks - Medley,1DirzC3jiBhwQ15rajeobq
Queen,Bohemian Rhapsody,Killer Queen,300YN8ebGB90nDuzgz0f3O
Train,California 37,This'll Be My Year,69iQM8CLaJFn8oqEefgPYw
Imagine Dragons,Night Visions,The River,2gSWEq3T6lfgxXjkb1s0QU
Coro Pascua Joven San Isidro,Nueva Mañana,Nueva Mañana,7J2j87rjssB0Bd3dE547u3
Queen,Bohemian Rhapsody,Crazy Little Thing Called Love,1F9NVicWfNQA5ki8WmEtk8
Mancha De Rolando,Viaje,La Marca del Sol,7KHwULkZpSGQN5jqaLxdPL
Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,3S0OXQeoh0w6AY8WQVckRW
Coro Pascua Joven San Isidro,Estás Aquí,Vive en Vos,5USVcaYxVI59ES82sYeOnz
Coro Pascua Joven San Isidro,Se entregó por mí,Se entregó por mí,2V8UVRo82Pvb61bzXIBgdS
Catupecu Machu,40 Principales Pop & Rock Nacionales,"Manuel Santillán, El León",6DUmM2JqGj4LFw8JKYGF8Z
Jason Mraz,We Sing. We Dance. We Steal Things.,A Beautiful Mess,6MevqVHN7ZhPHza4dyW5XT
Red Hot Chili Peppers,Californication,Californication,48UPSzbZjgc449aqz8bxox
Sofía Reyes,Mal De Amores,Marte,1uK5rDY3BnikyG0sl3tPpc
Coro Pascua Joven San Isidro,Nueva Mañana,Yuyos de mi Tierra,4naG1V8J6rJP75ScnhaXZ2
Jason Mraz,Love Is a Four Letter Word,Living in the Moment,395XDt5vt8DKguJDjGtYLU
Coldplay,A Head Full of Dreams,Fun (feat. Tove Lo),7fJFDK6XjYsXcMKNHESbot
Louis Tomlinson,Walls,Only the Brave,7A7RygcHdNH0iJHgwteajF
Justin Bieber,Believe,Thought Of You,2XpeEJgRYnKl41tJia9ggT
Jason Mraz,YES! (Commentary),Out of My Hands,2xVXrgeKCG9yhTTrc7thDY
Coro Pascua Joven San Isidro,Nueva Mañana,El Niño de Belén,5q52DTHyEXuAnM1UL9tREw
Ed Sheeran,x,Tenerife Sea,1HbcclMpw0q2WDWpdGCKdS
Lady Gaga,A Star Is Born Soundtrack,I'll Never Love - Extended Version - Radio Edit,54e5nUP7pHqVfaiCsq9FpW
Niall Horan,Flicker,This Town,3UwT4FadEGWyMdaSwYcUBY
Niall Horan,Flicker,Seeing Blind,1CxLWO9XW1aK4yv7zViVdn
Sam Fender,Back To Black,Back To Black - BBC Radio 1 Live Session,3KtKOYmUpcmAU1SzArnFrp
Andrés Calamaro,40 Principales Pop & Rock Nacionales,Pasos al Costado (Rmx),1aERunQAeUwCcWVO6Qyhzl
Jason Mraz,We Sing. We Dance. We Steal Things.,Only Human,7Ajbt9UQ50yQ0fpFG5hj13
OneRepublic,Native,I Lived,7D49Iig0avHre9RFSUMkd2
John Mayer,Where the Light Is: John Mayer Live In Los Angeles,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",4LloVtxNZpeh7q7xdi1DQc
Red Hot Chili Peppers,Californication,Purple Stain,0tGkxA0oybkQ3iR6LLXPjZ
Calle 13,Residente o Visitante,La Hormiga Brava,5rFlJrU4fC4DVLSsNjSZpu
Jason Mraz,YES! (Commentary),Back to the Earth - Commentary,5xGakr3enkamjBdNxYOIg3
Jason Mraz,We Sing. We Dance. We Steal Things.,The Dynamo of Volition - From the All Night Sessions,2FiHYjZn3IMbkPCnhcyBqT
Ed Sheeran,÷,New Man,5HDPtsnyb3maFmPL8LLUTG
Bryan Adams,Reckless,Somebody - Live At Hammersmith Odeon/1985,46aM8H56Z6GhOJZnrnsTbF
John Legend,Love In The Future (Expanded Edition),All of Me,3U4isOIWM3VvDubwSI3y7a
Justin Bieber,Believe,Catching Feelings,0XjaTaW5zEKoASxbdzHHAx
Eruca Sativa,Cinco Décadas de Rock Argentino: Quinta Década 2006 - 2016,Para Que Sigamos Siendo - En Vivo,5LiIpk3DSrOuzq9Fs3Uj0q
SEVENTEEN,SEVENTEEN 4th Mini Album ‘Al1’,MY I,0y3KqHpaqKhkHMM50HTeQy
Coro Pascua Joven San Isidro,Nueva Mañana,De Cirene,67eQtfc3zVfbzOF9b6oHdS
Sublime Reggae Kings,Vintage Reggae Beats,Ho Hey - Album Mix,0donaQJuW58VPplrLnqwNc
Train,California 37,We Were Made for This,4ejjJSozfM6QOUsLBom2qA
Bryan Adams,Reckless,Too Hot To Handle,5kuporlkK3qvhYdoEV6jqq
Bradley Cooper,A Star Is Born Soundtrack,Too Far Gone,1YWY0dnutW2Zx61OPFyDLF
Jason Mraz,We Sing. We Dance. We Steal Things.,Love for a Child,5OJ5utPWQbBRmGOZ6HpxgO
Ed Sheeran,÷,Dive,51ChrwmUPDJvedPQnIU8Ls
Train,California 37,When the Fog Rolls In,7Jg93eTHUzLaePH9Ki6lfP
Arnau Griso,Es gratis,No sé nadar - Acústico,4SPhhyP7xQhGL224GUKR8g
Arnau Griso,Revolución Bananera,Banderas Blancas,1cvnM4BRv2Ipqj0wa5qPSJ
Ed Sheeran,+,Kiss Me,0Tel1fmuCxEFV6wBLXsEdk
Queen,Bohemian Rhapsody,We Are The Champions - Live Aid,4XaG9IpCXklOcuau1sIrUX
Ed Sheeran,x,I'm a Mess,0xCA70t1ZA4fa9UOE0lIJm
Mancha De Rolando,Viaje,Secuelas,5vkHem6H9v6euEXBpMdt6x
Santi Celli,Reset,Quilombo,47FFs9FC5psqTqiom9Dx0H
Calle 13,MultiViral,Me Vieron Cruzar,6CLdnyg83r7ZRjLhiSykyK
Ed Sheeran,+,The A Team,1XpYodsD36XN7ygcdF7mJJ
Bradley Cooper,A Star Is Born Soundtrack,Maybe It's Time,4z2XPrpHz1raJibarWFY7Z
Calle 13,Residente o Visitante,Tango del Pecado (feat. Bajofondo Tango Club & Panasuyo),6SEMpMXnOe9nvei4yk7wb7
Jason Mraz,We Sing. We Dance. We Steal Things.,Lucky,0IktbUcnAGrvD03AWnz3Q8
Coro Pascua Joven San Isidro,Nueva Mañana,Joven Levántate,7dCQoM9EDgBvnWzxQRmAE9
Calle 13,Residente o Visitante,Intro,41peSYpNPJcLZ3wNklww85
Lady Gaga,A Star Is Born Soundtrack,Before I Cry,1JcjOWpaQr2crUaJj2kRYQ
SEVENTEEN,SEVENTEEN 4th Mini Album ‘Al1’,IF I,0JPyJEA13qkSemzWS3tOs1
Coldplay,Mylo Xyloto,Paradise,6nek1Nin9q48AVZcWs9e9D
Niall Horan,Flicker,The Tide,4wtxYmvivAKHOm4oPGx5Wf
Calle 13,Entren Los Que Quieran,Vamo' A Portarnos Mal,0YfDtPub9AsTu4278mDWJE
Coro Pascua Joven San Isidro,Alimento que da vida,El que muere por mí,68RghHT1MpaBbSbsiqu86V
Benjamín Amadeo,Vámonos,Vámonos,5myKO56bSuaqnsOLrsIkbN
La Beriso,Cinco Décadas de Rock Argentino: Quinta Década 2006 - 2016,Madrugada,4FZDR0xhWiDw7CXnGZlFLs
Banda de Turistas,40 Principales Pop & Rock Nacionales,Química,4tJUtpIDRR4XDBtzlUDZf7
Bradley Cooper,A Star Is Born Soundtrack,Alibi,3VQN13uMyi3dGpyIyUhG3X
Ed Sheeran,+,Lego House,5ubHAQtKuFfiG4FXfLP804
Jason Mraz,We Sing. We Dance. We Steal Things.,Details in the Fabric (feat. James Morrison),7EvZucbeXRDEwT4cFpHEi8
Los Fabulosos Cadillacs,Cinco Décadas de Rock Argentino: Quinta Década 2006 - 2016,La Luz del Ritmo,3WKwV5Ks1V5DX1n5HmBWIw
Los Cafres,40 Principales Pop & Rock Nacionales,Flaca Huella,5N56eog2FqhA3QKWlmeiUd
Jason Mraz,Know.,Love Is Still The Answer,6tfr6QF7ALjl7wRNCzNvJr
Jason Mraz,We Sing. We Dance. We Steal Things.,Life Is Wonderful - Live in Amsterdam,3Da88gQb83dmuNi5kdSlgy
Ed Sheeran,+,Wake Me Up,0ygAYQQy7bfDN6gH640bbl
Calle 13,Residente o Visitante,Mala Suerta con el 13 (feat. La Mala Rodríguez),6TB7BAFTmpkFNPpmhvqIxC
"Spinetta, García, Ferrón",Cinco Décadas de Rock Argentino: Quinta Década 2006 - 2016,Iris,5zLBYvFKcCgJiukpt31al8
Calle 13,Residente o Visitante,El Avión Se Cae,27towbxC0dbMckV2FN1zKv
Ed Sheeran,+,"You Need Me, I Don't Need You",5KL4iZkCTZyXl7KnHgfVDj
Ed Sheeran,Afterglow,Afterglow,0E4Y1XIbs8GrAT1YqVy6dq
Coro Pascua Joven San Isidro,Alimento que da vida,Alimento que da vida,23J38uLQY8t6wQksVSnmqO
Coldplay,A Head Full of Dreams,Colour Spectrum,3VqiD8Yvk6bKwqS1e64PHB
No Te Va Gustar,40 Principales Pop & Rock Nacionales,Verte Reir (En Vivo),5jkkTg1iONjTDltO0FJ1FC
Red Hot Chili Peppers,Californication,Quixoticelixer - 2006 Remaster,28w7CPWQCqQxt0YCzDN75b
Arnau Griso,Revolución Bananera,Desamortil,7DEAcRsBebaz7XeyMG6hqO
